"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"35.36","Alaa Abdelnaby",22,26,4,6,24,"8.2"
"35.39","Zaid Abdul-Aziz",22,31,9,7,25,"13.8"
"35.42","Kareem Abdul-Jabbar",22,41,19,2,24,"34.8"
"35.45","Mahmoud Abdul-Rauf",21,31,10,5,23,"Did Not Play (retired)"
"35.48","Tariq Abdul-Wahad",23,28,5,5,25,"12.2"
"35.52","Shareef Abdur-Rahim",20,31,11,5,22,"23"
"35.55","Tom Abernethy",22,26,4,4,23,"6.8"
"35.58","Forest Able",24,24,0,1,24,"0"
"35.61","John Abramovic",27,28,1,4,27,"11.2"
"35.64","Alex Abrines",23,24,1,1,23,"6"
"35.66","Alex Acker",23,26,3,5,26,"Did Not Play (other pro league—Spain)"
"35.69","Don Ackerman",23,23,0,1,23,"1.5"
"35.72","Mark Acres",25,30,5,5,30,"4.8"
"35.75","Bud Acton",26,26,0,1,26,"3.3"
"35.78","Quincy Acy",22,27,5,6,26,"6.5"
"35.81","Alvan Adams",21,33,12,1,21,"19"
"35.84","Don Adams",23,29,6,7,28,"13.1"
"35.87","George Adams",23,25,2,1,25,"9.3"
"35.90","Hassan Adams",22,24,2,3,22,"Did Not Play (other pro league—Italy)"
"35.93","Jordan Adams",20,21,1,1,21,"3.5"
"35.96","Michael Adams",23,33,10,4,28,"26.5"
"35.99","Steven Adams",20,24,4,1,24,"13.9"
"35.102","Rafael Addison",22,32,10,5,30,"Did Not Play (other pro league—Italy)"
"35.105","Bam Adebayo",20,20,0,1,20,"6.9"
"35.108","Rick Adelman",22,28,6,6,24,"12.6"
"35.111","Jeff Adrien",24,28,4,6,27,"10.9"
"35.114","Arron Afflalo",22,32,10,7,28,"18.2"
"35.117","Maurice Ager",22,26,4,5,26,"Did Not Play (other pro league—Spain, D-League)"
"35.120","Mark Aguirre",22,34,12,4,24,"29.5"
"35.123","Blake Ahearn",23,27,4,5,23,"Did Not Play (other pro league—D-League)"
"35.126","Danny Ainge",22,35,13,5,29,"20.3"
"35.129","Matthew Aitch",23,23,0,1,23,"5.6"
"35.132","Alexis Ajinca",20,28,8,6,26,"Did Not Play"
"35.134","Henry Akin",22,24,2,3,22,"3.8"
"35.137","Josh Akognon",26,26,0,1,26,"1.7"
"35.141","Solomon Alabi",22,23,1,1,23,"2.4"
"35.144","Mark Alarie",23,27,4,2,26,"10.5"
"35.147","Gary Alcorn",23,24,1,2,23,"4"
"35.150","Furkan Aldemir",23,23,0,1,23,"2.3"
"35.152","Cole Aldrich",22,29,7,7,26,"5.5"
"35.155","LaMarcus Aldridge",21,32,11,2,29,"23.4"
