,,Salary,Salary,Salary,Salary,Salary,Salary
Rk,Team,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
1,Miami Heat,$153232918,$129577727,$70160922,$24600000,,
2,Golden State Warriors,$148093414,$120967549,$45023682,$49422229,,
3,Oklahoma City Thunder,$145625023,$146822878,$137190679,$82742468,$47661200,
4,Toronto Raptors,$136027837,$131420029,$14738167,$11615328,,
5,Portland Trail Blazers,$132512464,$126000152,$87061035,$18783247,$2844429,$2844429
6,Milwaukee Bucks,$125884880,$107437599,$76539648,$24666377,$19375000,
7,Boston Celtics,$125524849,$123291172,$66188206,$18094118,$92857,$92857
8,Detroit Pistons,$125244035,$116807015,$75613180,$38957028,,
9,Memphis Grizzlies,$124730373,$119881406,$51726006,$19117710,,
10,Cleveland Cavaliers,$124623505,$134221452,$51873186,$48340580,$38572727,
11,Washington Wizards,$124247583,$109166400,$72948615,$49018564,$46872000,
12,Houston Rockets,$123781511,$120534726,$109438953,$106725365,$66581698,
13,New York Knicks,$122961124,$36089890,$24547462,$14079701,,
14,Charlotte Hornets,$122327044,$102564284,$53490032,$5421493,,
15,Minnesota Timberwolves,$121911256,$109165290,$93146226,$79983375,$67120000,$35970000
16,San Antonio Spurs,$121526251,$97774881,$71433973,$4447896,,
17,Brooklyn Nets,$118267134,$54348839,$19092854,$17776122,,
18,Denver Nuggets,$117738402,$121152959,$68254236,$71131301,$32478837,
19,Los Angeles Clippers,$117025751,$49338070,$11468880,$14604790,,
20,New Orleans Pelicans,$114806901,$92020956,$54882886,$27020000,,
21,Orlando Magic,$114497306,$87115442,$63258992,$23977833,,
22,Utah Jazz,$113144016,$94369903,$60055356,$4054695,,
23,Philadelphia 76ers,$112883127,$67528108,$34261150,$38070856,$33330000,
24,Chicago Bulls,$112710806,$81055003,$70142047,$30439486,,
25,Phoenix Suns,$111515634,$83756178,$66151303,$64292732,$33790000,$35970000
26,Indiana Pacers,$110804431,$60165852,$55251198,$24225951,$18000000,
27,Atlanta Hawks,$107615327,$56926122,$15459302,$16168673,,
28,Los Angeles Lakers,$107194758,$66047804,$67577154,$48154193,,
29,Sacramento Kings,$103489689,$71781007,$31855564,$11312114,,
30,Dallas Mavericks,$87820480,$54993749,$33717871,$11976448,,
