"","player","url","team"
"1","Jaylen Adams","/players/jaylen/adams/1629121","Atlanta Hawks"
"2","Justin Anderson","/players/justin/anderson/1626147","Atlanta Hawks"
"3","Kent Bazemore","/players/kent/bazemore/203145","Atlanta Hawks"
"4","DeAndre' Bembry","/players/deandre'/bembry/1627761","Atlanta Hawks"
"5","Vince Carter","/players/vince/carter/1713","Atlanta Hawks"
"6","John Collins","/players/john/collins/1628381","Atlanta Hawks"
"7","Dewayne Dedmon","/players/dewayne/dedmon/203473","Atlanta Hawks"
"8","Tyler Dorsey","/players/tyler/dorsey/1628416","Atlanta Hawks"
"9","Daniel Hamilton","/players/daniel/hamilton/1627772","Atlanta Hawks"
"10","Kevin Huerter","/players/kevin/huerter/1628989","Atlanta Hawks"
"11","RJ Hunter","/players/rj/hunter/1626154","Atlanta Hawks"
"12","Alex Len","/players/alex/len/203458","Atlanta Hawks"
"13","Jeremy Lin","/players/jeremy/lin/202391","Atlanta Hawks"
"14","Miles Plumlee","/players/miles/plumlee/203101","Atlanta Hawks"
"15","Alex Poythress","/players/alex/poythress/1627816","Atlanta Hawks"
"16","Taurean Prince","/players/taurean/prince/1627752","Atlanta Hawks"
"17","Thomas Robinson","/players/thomas/robinson/203080","Atlanta Hawks"
"18","Omari Spellman","/players/omari/spellman/1629016","Atlanta Hawks"
"19","Trae Young","/players/trae/young/1629027","Atlanta Hawks"
"20","Justin Anderson","/players/justin/anderson/1626147","Atlanta Hawks"
"21","RJ Hunter","/players/rj/hunter/1626154","Atlanta Hawks"
"22","Taurean Prince","/players/taurean/prince/1627752","Atlanta Hawks"
"23","DeAndre' Bembry","/players/deandre'/bembry/1627761","Atlanta Hawks"
"24","Daniel Hamilton","/players/daniel/hamilton/1627772","Atlanta Hawks"
"25","John Collins","/players/john/collins/1628381","Atlanta Hawks"
"26","Tyler Dorsey","/players/tyler/dorsey/1628416","Atlanta Hawks"
"27","Kevin Huerter","/players/kevin/huerter/1628989","Atlanta Hawks"
"28","Omari Spellman","/players/omari/spellman/1629016","Atlanta Hawks"
"29","Trae Young","/players/trae/young/1629027","Atlanta Hawks"
"30","Jaylen Adams","/players/jaylen/adams/1629121","Atlanta Hawks"
"31","Vince Carter","/players/vince/carter/1713","Atlanta Hawks"
"32","Jeremy Lin","/players/jeremy/lin/202391","Atlanta Hawks"
"33","Thomas Robinson","/players/thomas/robinson/203080","Atlanta Hawks"
"34","Miles Plumlee","/players/miles/plumlee/203101","Atlanta Hawks"
"35","Kent Bazemore","/players/kent/bazemore/203145","Atlanta Hawks"
"36","Alex Len","/players/alex/len/203458","Atlanta Hawks"
"37","Dewayne Dedmon","/players/dewayne/dedmon/203473","Atlanta Hawks"
"38","Aron Baynes","/players/aron/baynes/203382","Boston Celtics"
"39","Jabari Bird","/players/jabari/bird/1628444","Boston Celtics"
"40","Jaylen Brown","/players/jaylen/brown/1627759","Boston Celtics"
"41","PJ Dozier","/players/pj/dozier/1628408","Boston Celtics"
"42","Marcus Georges-Hunt","/players/marcus/georges-hunt/1627875","Boston Celtics"
"43","Gordon Hayward","/players/gordon/hayward/202330","Boston Celtics"
"44","Al Horford","/players/al/horford/201143","Boston Celtics"
"45","Kyrie Irving","/players/kyrie/irving/202681","Boston Celtics"
"46","Marcus Morris","/players/marcus/morris/202694","Boston Celtics"
"47","Semi Ojeleye","/players/semi/ojeleye/1628400","Boston Celtics"
"48","Terry Rozier","/players/terry/rozier/1626179","Boston Celtics"
"49","Marcus Smart","/players/marcus/smart/203935","Boston Celtics"
"50","Jayson Tatum","/players/jayson/tatum/1628369","Boston Celtics"
"51","Daniel Theis","/players/daniel/theis/1628464","Boston Celtics"
"52","Brad Wanamaker","/players/brad/wanamaker/202954","Boston Celtics"
"53","Robert Williams III","/players/robert/williams_iii/1629057","Boston Celtics"
"54","Guerschon Yabusele","/players/guerschon/yabusele/1627824","Boston Celtics"
"55","Terry Rozier","/players/terry/rozier/1626179","Boston Celtics"
"56","Jaylen Brown","/players/jaylen/brown/1627759","Boston Celtics"
"57","Guerschon Yabusele","/players/guerschon/yabusele/1627824","Boston Celtics"
"58","Marcus Georges-Hunt","/players/marcus/georges-hunt/1627875","Boston Celtics"
"59","Jayson Tatum","/players/jayson/tatum/1628369","Boston Celtics"
"60","Semi Ojeleye","/players/semi/ojeleye/1628400","Boston Celtics"
"61","PJ Dozier","/players/pj/dozier/1628408","Boston Celtics"
"62","Jabari Bird","/players/jabari/bird/1628444","Boston Celtics"
"63","Daniel Theis","/players/daniel/theis/1628464","Boston Celtics"
"64","Robert Williams III","/players/robert/williams_iii/1629057","Boston Celtics"
"65","Al Horford","/players/al/horford/201143","Boston Celtics"
"66","Gordon Hayward","/players/gordon/hayward/202330","Boston Celtics"
"67","Kyrie Irving","/players/kyrie/irving/202681","Boston Celtics"
"68","Marcus Morris","/players/marcus/morris/202694","Boston Celtics"
"69","Brad Wanamaker","/players/brad/wanamaker/202954","Boston Celtics"
