"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Goran Dragic","31:09",".493",".423",".308",".385","11.0","6.3","8.5","21.4","0.0","0.0","20.8","27.7","95","140"
"3","Josh Richardson","27:21",".254",".143",".571",".286","0.0","14.3","7.7","21.1","3.6","0.0","11.3","14.6","74","128"
"4","James Johnson","24:44",".658",".667",".222",".222","0.0","11.9","6.4","30.7","0.0","0.0","16.8","21.6","114","137"
"5","Tyler Johnson","18:14",".580",".417",".500",".667","0.0","16.1","8.7","0.0","2.7","0.0","11.4","21.6","107","129"
"6","Hassan Whiteside","12:26",".250",".250",".000",".000","18.4","23.6","21.2","12.4","0.0","11.5","33.3","21.7","62","125"
"8","Justise Winslow","31:10",".483",".500",".250",".375","3.7","18.9","11.8","26.7","1.6","2.3","17.7","16.3","100","129"
"9","Kelly Olynyk","30:57",".808",".846",".385",".538","11.1","12.7","11.9","14.7","0.0","2.3","11.1","26.3","139","135"
"10","Bam Adebayo","20:31",".630",".667",".000","1.333","0.0","4.8","2.6","0.0","0.0","3.5","17.4","12.6","99","138"
"11","Dwyane Wade","19:29",".628",".571",".000",".571","0.0","20.1","10.8","39.2","0.0","0.0","10.2","22.5","127","134"
"12","Wayne Ellington","19:15",".600",".600","1.000",".000","0.0","10.2","5.5","8.3","0.0","3.7","0.0","11.7","122","136"
"13","Luke Babbitt","2:22","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","143"
"14","Rodney McGruder","2:22",".500",".500",".500",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","96","143"
"15","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".568",".532",".338",".403","21.4","65.3","45.1","71.4","4.1","9.0","15.0","100.0","106.3","134.2"
