"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Anthony Davis","40:38","14","26",".538","0","2",".000","7","9",".778","2","12","14","1","2","4","3","4","35","+1"
"3","Nikola Mirotic","39:35","6","15",".400","4","10",".400","0","0","","1","10","11","3","2","4","1","1","16","+13"
"4","Rajon Rondo","39:20","3","9",".333","0","1",".000","0","0","","0","8","8","17","1","0","2","4","6","-4"
"5","Jrue Holiday","39:13","10","20",".500","1","5",".200","0","1",".000","2","5","7","2","1","2","3","1","21","+12"
"6","E'Twaun Moore","26:44","2","4",".500","0","1",".000","0","0","","1","1","2","2","1","0","1","2","4","+10"
"8","Ian Clark","24:42","4","5",".800","2","2","1.000","0","0","","0","1","1","1","1","1","2","1","10","-12"
"9","Darius Miller","14:01","0","1",".000","0","1",".000","0","0","","0","4","4","0","0","0","1","0","0","0"
"10","Cheick Diallo","10:16","1","4",".250","0","0","","0","0","","1","1","2","0","0","1","0","2","2","-4"
"11","Solomon Hill","5:31","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","1","2","3","-6"
"12","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"14","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","41","86",".477","8","24",".333","7","10",".700","7","42","49","26","8","12","14","17","97",""
