"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Damian Lillard","42:09","6","23",".261","4","9",".444","2","2","1.000","1","6","7","7","2","0","0","2","18","-7"
"3","CJ McCollum","37:38","7","18",".389","4","10",".400","1","1","1.000","0","2","2","2","3","0","1","1","19","+4"
"4","Evan Turner","30:13","6","15",".400","1","4",".250","0","0","","4","3","7","0","1","1","4","2","13","-6"
"5","Al-Farouq Aminu","29:41","3","7",".429","1","5",".200","0","0","","2","5","7","2","0","1","3","1","7","-11"
"6","Jusuf Nurkic","24:32","3","7",".429","0","0","","5","5","1.000","2","9","11","0","0","2","0","3","11","-7"
"8","Zach Collins","21:35","3","8",".375","1","4",".250","1","2",".500","0","2","2","3","2","1","0","1","8","+5"
"9","Ed Davis","19:48","3","6",".500","0","0","","0","2",".000","5","8","13","0","0","1","1","3","6","+7"
"10","Pat Connaughton","17:34","3","7",".429","1","4",".250","0","0","","1","1","2","1","1","0","0","1","7","+7"
"11","Shabazz Napier","14:02","3","7",".429","0","3",".000","0","0","","0","1","1","1","1","0","3","1","6","-1"
"12","Wade Baldwin","2:36","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","-2"
"13","Meyers Leonard","0:12","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+1"
"14","Caleb Swanigan","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jake Layman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","98",".378","12","39",".308","9","12",".750","15","37","52","17","10","6","12","15","95",""
