"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Kyle Lowry","37:52",".557",".500",".444",".222","0.0","9.8","5.2","31.8","2.6","0.0","33.6","18.3","101","109"
"3","DeMar DeRozan","35:03",".453",".412",".294",".235","4.0","3.5","3.8","25.1","0.0","0.0","9.6","27.7","101","116"
"4","Serge Ibaka","32:54",".901",".864",".364",".364","8.6","37.4","24.0","5.0","0.0","4.5","7.3","19.5","165","106"
"5","Jonas Valanciunas","22:50",".654",".667",".000",".333","0.0","48.5","25.9","12.9","0.0","3.2","12.7","16.1","119","106"
"6","OG Anunoby","22:16",".667",".667",".444",".000","12.7","0.0","5.9","7.1","0.0","3.3","0.0","18.9","139","113"
"8","Delon Wright","24:49",".827",".850",".400",".200","0.0","5.0","2.6","28.2","5.9","3.0","26.9","28.0","117","99"
"9","C.J. Miles","19:18",".750",".750",".875",".000","0.0","12.8","6.8","0.0","2.5","0.0","0.0","19.4","133","109"
"10","Pascal Siakam","15:47",".666",".500",".400",".800","0.0","39.0","20.8","8.7","0.0","0.0","12.9","23.0","123","110"
"11","Jakob Poeltl","15:08","1.000","1.000",".000",".000","0.0","8.1","4.3","8.4","0.0","9.8","75.0","12.3","51","105"
"12","Lucas Nogueira","9:12",".568","","","","0.0","13.4","7.1","12.7","0.0","0.0","0.0","4.5","156","114"
"13","Norman Powell","4:51",".000",".000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.6","0","116"
"14","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Alfonzo McKinnie","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".664",".636",".390",".260","14.7","84.6","52.1","63.4","6.1","10.8","16.5","100.0","116.8","108.6"
