"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Bradley Beal","41:14",".545",".529",".353",".059","0.0","6.8","3.2","14.7","3.6","0.0","5.4","20.1","106","116"
"3","John Wall","39:09",".471",".375",".250",".500","0.0","10.8","5.0","54.7","5.0","5.2","17.0","33.7","99","108"
"4","Markieff Morris","37:57",".674",".633",".267",".200","6.5","33.5","19.1","25.6","0.0","0.0","0.0","19.3","146","122"
"5","Otto Porter","31:51",".643",".643",".429",".000","0.0","22.2","10.3","4.3","1.5","3.2","0.0","9.9","124","117"
"6","Marcin Gortat","28:30",".667",".667",".000",".000","8.6","19.8","13.8","0.0","0.0","0.0","10.0","15.8","118","123"
"8","Mike Scott","26:57",".700",".700",".000",".000","9.1","5.2","7.3","0.0","0.0","0.0","16.7","20.0","110","125"
"9","Kelly Oubre","16:09",".375",".375",".500",".000","0.0","43.7","20.4","7.8","3.0","0.0","33.3","16.7","54","113"
"10","Tomas Satoransky","11:46",".258",".000",".333",".667","0.0","0.0","0.0","9.9","0.0","0.0","20.5","18.6","55","126"
"11","Tim Frazier","3:51",".000",".000",".000",".000","0.0","0.0","0.0","30.4","12.8","0.0","0.0","11.7","51","95"
"12","Ian Mahinmi","2:36","1.136","","","","0.0","0.0","0.0","0.0","18.9","0.0","53.2","32.5","108","79"
"13","Jodie Meeks","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended"
"14","Ty Lawson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".564",".523",".244",".209","15.4","85.3","47.9","70.7","11.3","6.4","12.2","100.0","108.6","116.8"
