"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jaylen Brown","45:36","9","19",".474","2","5",".400","0","0","","1","3","4","4","1","1","3","4","20","+18"
"3","Al Horford","44:19","5","8",".625","1","2",".500","13","14",".929","3","9","12","4","2","3","1","3","24","+2"
"4","Jayson Tatum","44:01","8","18",".444","1","3",".333","2","2","1.000","2","8","10","4","3","1","5","0","19","+9"
"5","Terry Rozier","40:29","7","18",".389","4","9",".444","5","6",".833","1","3","4","3","1","0","0","2","23","0"
"6","Aron Baynes","14:30","0","4",".000","0","0","","0","0","","0","3","3","1","0","0","0","2","0","-3"
"8","Marcus Morris","35:23","8","20",".400","2","4",".500","3","3","1.000","2","5","7","1","0","0","2","4","21","+4"
"9","Shane Larkin","16:25","2","4",".500","1","3",".333","0","0","","0","1","1","2","1","0","4","2","5","+12"
"10","Semi Ojeleye","13:50","0","1",".000","0","0","","0","0","","1","0","1","1","0","0","0","3","0","-13"
"11","Greg Monroe","10:28","0","2",".000","0","0","","1","2",".500","1","2","3","0","0","0","0","1","1","+1"
"12","Abdel Nader","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Guerschon Yabusele","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Team Totals","265","39","94",".415","11","26",".423","24","27",".889","11","34","45","20","8","5","15","21","113",""
