"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Bojan Bogdanovic","38:46",".400",".324",".353",".235","0.0","16.5","8.3","4.2","4.0","0.0","5.1","24.2","82","85"
"3","Victor Oladipo","36:52",".710",".737",".474",".421","0.0","17.4","8.7","24.0","5.7","3.0","15.1","34.2","118","80"
"4","Myles Turner","33:32",".743",".722",".222",".444","3.2","22.3","12.7","10.4","0.0","3.3","8.5","16.7","141","90"
"5","Thaddeus Young","31:19",".717",".750",".000",".500","6.8","3.4","5.1","4.9","0.0","3.5","0.0","7.4","158","97"
"6","Darren Collison","30:44",".304",".278",".444",".222","3.5","13.9","8.7","28.5","3.4","0.0","16.8","18.4","80","88"
"8","Cory Joseph","20:46",".300",".300",".200",".000","0.0","15.4","7.7","20.6","7.6","0.0","0.0","11.4","90","78"
"9","Domantas Sabonis","18:56",".500",".500",".500",".000","11.3","11.3","11.3","16.4","0.0","5.8","0.0","10.0","134","91"
"10","Lance Stephenson","17:26",".487",".500",".364",".273","6.1","24.5","15.3","0.0","0.0","0.0","14.0","39.0","83","91"
"11","Trevor Booker","11:40",".798","1.000",".000","2.000","9.1","27.4","18.3","0.0","0.0","0.0","34.7","11.7","109","90"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".544",".525",".354",".316","17.8","80.0","48.9","52.8","13.1","9.1","10.9","100.0","106.8","87.2"
