"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Rudy Gobert","35:10",".658",".750",".000",".750","11.9","9.7","10.9","4.2","0.0","4.9","22.0","17.0","112","120"
"3","Donovan Mitchell","34:57",".590",".568",".318",".091","3.0","29.4","15.6","15.9","2.7","2.5","4.2","29.9","121","111"
"4","Joe Ingles","31:56",".722",".722",".556",".000","3.3","3.6","3.4","4.5","0.0","0.0","18.2","15.1","118","125"
"5","Ricky Rubio","31:00",".336",".278",".167",".167","6.7","18.4","12.3","23.3","6.2","2.8","13.4","31.5","79","105"
"6","Derrick Favors","30:09",".470",".429",".000",".143","3.5","15.2","9.0","13.2","0.0","5.7","11.8","12.2","105","118"
"8","Jae Crowder","27:55",".553",".450",".900",".400","0.0","16.4","7.8","9.6","3.4","0.0","7.8","20.0","113","114"
"9","Royce O'Neale","20:01",".266",".000","1.000","2.000","0.0","11.4","5.5","0.0","4.8","4.3","0.0","4.1","60","109"
"10","Dante Exum","18:07",".727",".667",".000",".333","0.0","6.3","3.0","17.4","0.0","0.0","30.4","23.8","104","124"
"11","Jonas Jerebko","3:54",".000",".000",".500",".000","0.0","0.0","0.0","30.0","0.0","0.0","0.0","22.4","32","126"
"12","Alec Burks","2:17","1.250","1.250",".500",".000","0.0","100.0","47.8","0.0","0.0","0.0","0.0","76.6","250","103"
"13","Raul Neto","2:17","","","","","0.0","100.0","47.8","0.0","0.0","0.0","","0.0","0","103"
"14","Ekpe Udoh","2:17","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","125"
"15","Tony Bradley","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".564",".534",".322",".230","19.6","78.6","47.7","43.9","10.0","12.5","12.8","100.0","107.7","115.7"
