"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Rudy Gobert","35:10","6","8",".750","0","0","","2","6",".333","4","3","7","1","0","2","3","4","14","-5"
"3","Donovan Mitchell","34:57","11","22",".500","3","7",".429","2","2","1.000","1","9","10","3","2","1","1","1","27","-9"
"4","Joe Ingles","31:56","5","9",".556","3","5",".600","0","0","","1","1","2","1","0","0","2","5","13","-6"
"5","Ricky Rubio","31:00","5","18",".278","0","3",".000","3","3","1.000","2","5","7","5","4","1","3","2","13","-2"
"6","Derrick Favors","30:09","3","7",".429","0","0","","1","1","1.000","1","4","5","3","0","2","1","1","7","-12"
"8","Jae Crowder","27:55","3","10",".300","3","9",".333","4","4","1.000","0","4","4","2","2","0","1","1","13","-4"
"9","Royce O'Neale","20:01","0","1",".000","0","1",".000","1","2",".500","0","2","2","0","2","1","0","3","1","-9"
"10","Dante Exum","18:07","4","6",".667","0","0","","2","2","1.000","0","1","1","2","0","0","3","1","10","-1"
"11","Jonas Jerebko","3:54","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","0","0","-7"
"12","Alec Burks","2:17","4","4","1.000","2","2","1.000","0","0","","0","2","2","0","0","0","0","1","10","+5"
"13","Raul Neto","2:17","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","1","0","+5"
"14","Ekpe Udoh","2:17","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","+5"
"15","Tony Bradley","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","41","87",".471","11","28",".393","15","20",".750","9","33","42","18","10","7","14","21","108",""
