"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LaMarcus Aldridge","37:22","11","21",".524","0","0","","12","12","1.000","4","8","12","3","0","0","2","1","34","-8"
"3","Rudy Gay","36:30","6","12",".500","0","3",".000","0","0","","3","2","5","3","3","1","2","3","12","-8"
"4","Patty Mills","32:25","7","16",".438","3","9",".333","4","4","1.000","0","3","3","3","0","0","3","4","21","-6"
"5","Danny Green","24:46","0","3",".000","0","3",".000","0","0","","0","2","2","1","1","1","0","2","0","-26"
"6","Dejounte Murray","12:38","2","4",".500","0","0","","0","0","","1","1","2","0","2","0","1","1","4","-15"
"8","Davis Bertans","25:28","1","7",".143","1","6",".167","2","4",".500","1","2","3","0","0","0","0","2","5","+4"
"9","Manu Ginobili","22:50","4","9",".444","0","3",".000","2","2","1.000","0","2","2","3","2","0","0","3","10","+6"
"10","Pau Gasol","15:30","3","5",".600","0","0","","6","6","1.000","0","4","4","3","0","0","0","2","12","-7"
"11","Bryn Forbes","13:34","0","3",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-12"
"12","Kyle Anderson","9:59","0","2",".000","0","2",".000","1","2",".500","0","1","1","0","2","0","0","1","1","+2"
"13","Tony Parker","6:25","1","3",".333","0","1",".000","0","0","","0","1","1","0","0","0","1","1","2","-3"
"14","Derrick White","2:33","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-2"
"15","Brandon Paul","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","35","85",".412","4","28",".143","27","30",".900","9","26","35","16","10","2","9","21","101",""
