"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Ben Simmons","39:02","10","17",".588","0","0","","4","6",".667","3","6","9","8","0","2","2","5","24","-9"
"3","Robert Covington","36:21","3","14",".214","1","9",".111","0","0","","3","6","9","4","0","1","2","0","7","-12"
"4","Dario Saric","36:00","8","20",".400","3","10",".300","4","4","1.000","2","6","8","3","4","1","5","4","23","-7"
"5","J.J. Redick","35:31","4","13",".308","1","7",".143","2","4",".500","0","1","1","4","0","1","0","3","11","-9"
"6","Ersan Ilyasova","27:41","7","10",".700","0","2",".000","0","1",".000","6","5","11","0","1","0","2","5","14","-10"
"8","Marco Belinelli","29:43","5","13",".385","2","8",".250","4","5",".800","0","2","2","0","1","0","1","3","16","+2"
"9","Amir Johnson","21:40","3","5",".600","0","0","","0","0","","2","5","7","2","1","0","1","2","6","+6"
"10","T.J. McConnell","6:23","0","1",".000","0","0","","2","2","1.000","1","0","1","1","0","0","0","1","2","-6"
"11","Markelle Fultz","4:38","0","3",".000","0","0","","0","0","","0","0","0","0","0","0","1","1","0","-1"
"12","Richaun Holmes","3:01","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","2","0","-4"
"13","Timothe Luwawu-Cabarrot","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Justin Anderson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Furkan Korkmaz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","40","96",".417","7","36",".194","16","22",".727","17","32","49","22","7","5","14","26","103",""
