"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Terry Rozier","37:46",".730",".679",".357",".286","0.0","10.6","5.0","26.9","1.4","2.1","0.0","19.5","163","117"
"3","Al Horford","35:28",".673",".682",".091",".182","3.4","15.0","8.9","14.1","2.9","0.0","0.0","15.6","149","115"
"4","Jaylen Brown","33:13",".656",".659",".545",".091","7.2","12.0","9.5","4.7","0.0","0.0","4.2","33.5","129","122"
"5","Jayson Tatum","29:47",".222",".222",".222",".000","0.0","31.3","14.8","10.8","7.0","2.7","10.0","15.7","62","102"
"6","Aron Baynes","23:50",".500",".500",".000",".000","20.1","11.2","15.9","4.8","0.0","6.7","0.0","11.7","138","115"
"8","Marcus Morris","30:16",".639",".682",".545",".636","0.0","22.0","10.4","4.1","1.7","0.0","6.6","23.2","120","117"
"9","Shane Larkin","20:31",".688",".688",".375",".000","0.0","0.0","0.0","19.3","0.0","0.0","0.0","18.2","149","122"
"10","Greg Monroe","16:31",".721",".714",".000",".429","7.3","24.2","15.3","17.4","0.0","4.8","19.4","29.1","124","116"
"11","Guerschon Yabusele","10:38",".000",".000","1.000",".000","11.3","25.1","17.8","9.4","9.8","0.0","0.0","8.8","71","99"
"12","Abdel Nader","1:00","","","","","0.0","0.0","0.0","0.0","0.0","80.0","","0.0","0","50"
"13","Semi Ojeleye","1:00","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","124"
"14","Team Totals","240",".613",".606",".344",".200","22.5","80.6","50.0","50.0","10.8","10.0","4.9","100.0","130.1","114.9"
