"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Giannis Antetokounmpo","43:01",".716",".765",".059",".529","3.1","22.3","13.2","28.3","1.2","1.9","12.5","26.9","136","127"
"3","Khris Middleton","37:08",".793",".857",".429",".286","0.0","12.9","6.8","3.9","0.0","0.0","16.0","24.4","126","133"
"4","John Henson","37:02",".857",".857",".000",".000","10.8","9.7","10.2","13.6","0.0","2.2","12.5","10.4","164","132"
"5","Eric Bledsoe","33:57",".462",".462",".308",".000","3.9","21.2","13.0","14.5","1.5","2.4","7.1","19.9","105","126"
"6","Tony Snell","22:28",".333",".333",".333",".000","0.0","10.7","5.6","0.0","0.0","3.6","0.0","6.4","71","131"
"8","Malcolm Brogdon","18:35",".714",".714",".143",".000","0.0","19.4","10.2","0.0","0.0","0.0","36.4","28.6","81","132"
"9","Shabazz Muhammad","12:19",".564",".563",".125",".500","0.0","0.0","0.0","0.0","4.2","0.0","0.0","38.2","114","126"
"10","Jabari Parker","10:06",".000",".000",".000",".000","0.0","23.8","12.5","0.0","0.0","0.0","33.3","14.3","0","131"
"11","Sterling Brown","8:47",".500",".500",".500",".000","0.0","13.7","7.2","0.0","0.0","0.0","0.0","22.0","102","134"
"12","Tyler Zeller","5:55","","","","","22.5","20.3","21.3","0.0","0.0","0.0","100.0","8.2","62","131"
"13","Jason Terry","5:08","","","","","0.0","23.4","12.3","20.3","0.0","0.0","","0.0","215","132"
"14","Matthew Dellavedova","4:34","","","","","0.0","0.0","0.0","22.8","0.0","0.0","100.0","10.6","50","135"
"15","Thon Maker","1:00",".000",".000",".500",".000","100.0","0.0","63.2","0.0","0.0","0.0","0.0","96.5","44","136"
"16","Team Totals","240",".627",".643",".221",".221","19.4","77.5","50.0","41.3","3.3","6.8","15.1","100.0","114.9","130.1"
