"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Anthony Davis","40:25",".545",".528",".111",".278","8.5","23.2","16.2","3.7","2.5","4.0","19.8","28.1","93","98"
"3","Nikola Mirotic","38:57",".715",".682",".636",".182","0.0","21.4","11.2","0.0","0.0","4.2","0.0","13.8","144","105"
"4","Rajon Rondo","38:49",".673",".636",".273",".182","2.9","24.2","14.1","31.3","0.0","0.0","33.6","20.8","107","106"
"5","Jrue Holiday","38:04",".641",".625",".208",".167","6.0","2.7","4.3","44.8","1.3","0.0","3.7","31.7","140","111"
"6","E'Twaun Moore","30:57",".372",".389",".333",".444","11.1","10.1","10.6","8.1","0.0","0.0","8.5","17.1","93","111"
"8","Ian Clark","17:27",".300",".300",".400",".000","0.0","6.0","3.1","20.5","0.0","0.0","16.7","15.5","79","113"
"9","Solomon Hill","15:40",".694",".500",".000","1.000","0.0","6.7","3.5","7.7","3.2","0.0","0.0","8.3","159","105"
"10","Darius Miller","15:24","1.000","1.000",".500",".000","0.0","6.8","3.5","0.0","0.0","0.0","0.0","11.7","188","112"
"11","Cheick Diallo","4:17","","","","","26.7","0.0","12.7","0.0","0.0","0.0","","0.0","223","115"
"12","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"15","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".601",".583",".286",".226","23.8","71.7","48.9","58.1","4.2","6.8","13.2","100.0","116.2","106.8"
