"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Damian Lillard","40:16",".450",".417",".389",".111","5.2","2.8","4.1","14.6","1.2","0.0","27.0","27.7","79","120"
"3","CJ McCollum","39:22",".503",".500",".381",".095","0.0","8.7","4.2","24.4","1.3","2.0","8.4","26.1","108","117"
"4","Al-Farouq Aminu","35:58",".700",".700",".600",".000","14.5","31.8","22.7","3.9","0.0","0.0","9.1","13.2","143","116"
"5","Evan Turner","20:23",".000",".000",".000",".000","5.1","16.8","10.7","28.7","4.9","0.0","0.0","12.7","61","108"
"6","Jusuf Nurkic","15:15",".472",".417",".000",".333","20.5","0.0","10.7","0.0","3.3","5.2","6.8","41.7","103","111"
"8","Maurice Harkless","27:07","1.100","1.100",".200",".000","3.8","16.9","10.1","0.0","0.0","3.0","16.7","9.5","170","117"
"9","Zach Collins","21:39",".545",".545",".636",".000","4.8","21.1","12.6","0.0","0.0","0.0","15.4","25.9","95","118"
"10","Ed Davis","20:58",".667",".667",".000",".000","0.0","32.7","15.6","0.0","0.0","0.0","25.0","8.2","94","116"
"11","Pat Connaughton","18:44",".765",".700",".600",".400","0.0","6.1","2.9","30.8","0.0","4.3","0.0","13.5","176","118"
"12","Wade Baldwin","0:18","","","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","100.0","0","123"
"13","Shabazz Napier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Meyers Leonard","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Caleb Swanigan","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".535",".516",".352",".110","28.3","76.2","51.1","48.8","5.2","6.7","14.4","100.0","106.8","116.2"
