"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","John Wall","31:54","9","17",".529","0","2",".000","11","11","1.000","1","3","4","9","0","1","4","4","29","-15"
"3","Markieff Morris","27:34","3","7",".429","0","2",".000","0","0","","0","4","4","1","2","1","1","4","6","-31"
"4","Otto Porter","25:12","5","10",".500","0","0","","2","2","1.000","0","2","2","2","3","0","0","1","12","-12"
"5","Bradley Beal","24:38","3","11",".273","1","5",".200","2","2","1.000","0","2","2","3","0","0","0","4","9","-34"
"6","Marcin Gortat","12:05","0","4",".000","0","0","","0","0","","0","3","3","0","0","0","0","2","0","-6"
"8","Ty Lawson","31:20","4","10",".400","4","5",".800","2","2","1.000","1","2","3","8","0","0","1","2","14","+8"
"9","Kelly Oubre","30:17","6","11",".545","1","3",".333","1","2",".500","1","4","5","1","1","1","1","2","14","-1"
"10","Mike Scott","27:19","7","10",".700","4","5",".800","2","2","1.000","0","4","4","1","0","0","0","2","20","+13"
"11","Ian Mahinmi","15:00","4","4","1.000","0","0","","4","5",".800","0","3","3","0","1","0","0","2","12","+11"
"12","Tomas Satoransky","14:41","1","2",".500","0","0","","1","2",".500","1","3","4","1","0","0","1","1","3","+12"
"13","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tim Frazier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jodie Meeks","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended"
"16","Team Totals","240","42","86",".488","10","22",".455","25","28",".893","4","30","34","26","7","3","8","24","119",""
