"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","39:53",".774",".750",".208",".542","3.3","45.7","21.9","36.4","2.6","0.0","9.2","40.3","146","102"
"3","J.R. Smith","35:00",".425",".400",".400",".400","0.0","0.0","0.0","4.0","3.0","2.4","25.4","11.1","70","104"
"4","Kevin Love","34:24",".433",".375",".375",".188","11.3","24.1","16.9","0.0","0.0","0.0","14.8","29.0","84","109"
"5","Kyle Korver","30:54",".750",".750","1.000",".000","0.0","16.1","7.1","5.0","1.7","0.0","0.0","12.7","150","107"
"6","George Hill","20:01",".773",".833",".333",".667","0.0","0.0","0.0","22.3","0.0","0.0","34.0","14.4","115","112"
"8","Larry Nance","24:07",".532","1.000",".000","2.000","5.4","27.5","15.1","11.4","2.2","3.6","0.0","3.8","146","101"
"9","Rodney Hood","15:36",".500",".500",".400",".000","0.0","0.0","0.0","10.0","0.0","0.0","28.6","22.1","76","112"
"10","Jordan Clarkson","14:00",".250",".250",".000",".000","0.0","0.0","0.0","10.2","0.0","0.0","0.0","14.0","67","112"
"11","Jose Calderon","13:27",".625",".625",".750",".000","0.0","0.0","0.0","0.0","3.9","0.0","33.3","21.9","76","103"
"12","Jeff Green","12:37",".333",".333",".333",".000","10.3","13.1","11.5","11.5","4.1","0.0","25.0","15.6","78","102"
"13","Tristan Thompson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".605",".582",".384",".301","16.2","82.8","45.5","40.5","8.7","3.6","15.4","100.0","109.0","105.7"
