"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Andrew Wiggins","30:35","6","14",".429","0","3",".000","1","2",".500","1","7","8","3","1","1","3","3","13","-12"
"3","Jimmy Butler","24:58","3","6",".500","1","1","1.000","4","4","1.000","0","4","4","2","0","0","3","1","11","-17"
"4","Karl-Anthony Towns","23:46","2","9",".222","1","3",".333","0","2",".000","2","8","10","0","1","1","0","1","5","-21"
"5","Taj Gibson","22:56","3","4",".750","0","0","","2","2","1.000","1","4","5","0","1","1","2","2","8","-4"
"6","Jeff Teague","19:26","3","7",".429","0","1",".000","2","3",".667","0","1","1","1","1","1","4","4","8","-21"
"8","Jamal Crawford","29:07","3","9",".333","0","2",".000","2","3",".667","1","3","4","2","0","0","0","1","8","-18"
"9","Tyus Jones","28:34","1","5",".200","0","1",".000","0","0","","0","5","5","3","1","0","1","0","2","+1"
"10","Gorgui Dieng","24:14","1","8",".125","0","2",".000","0","0","","1","5","6","1","0","3","1","1","2","+1"
"11","Nemanja Bjelica","18:59","5","9",".556","2","4",".500","4","5",".800","2","6","8","2","2","0","1","3","16","-1"
"12","Derrick Rose","17:25","4","9",".444","1","1","1.000","0","0","","1","0","1","1","0","0","1","0","9","-8"
"13","Marcus Georges-Hunt","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Cole Aldrich","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Aaron Brooks","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","31","80",".388","5","18",".278","15","21",".714","9","43","52","15","7","7","16","16","82",""
