"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Paul George","43:12",".395",".381",".571",".190","0.0","21.8","10.9","3.8","0.0","6.1","11.6","25.8","72","104"
"3","Carmelo Anthony","37:55",".430",".389",".500",".222","0.0","22.3","11.2","0.0","1.3","0.0","4.8","23.7","84","104"
"4","Russell Westbrook","37:12",".458",".421",".158",".211","2.5","20.2","11.4","62.2","5.3","0.0","12.6","27.6","104","96"
"5","Corey Brewer","28:49",".619",".563",".375",".250","0.0","3.3","1.6","11.4","5.1","3.0","0.0","13.3","132","102"
"6","Steven Adams","22:00",".765",".800",".000",".400","21.4","8.6","15.0","8.0","2.2","0.0","25.4","15.5","126","107"
"8","Jerami Grant","30:26",".597",".600",".200",".200","9.3","9.3","9.3","5.9","0.0","0.0","21.6","19.7","98","113"
"9","Raymond Felton","15:29",".800",".800",".800",".000","0.0","12.2","6.1","34.8","6.4","0.0","16.7","16.8","135","97"
"10","Alex Abrines","14:52",".000",".000",".500",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.8","0","116"
"11","Patrick Patterson","10:05",".000",".000",".500",".000","9.3","9.3","9.3","13.2","0.0","0.0","0.0","8.6","54","113"
"12","Terrance Ferguson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Dakari Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Josh Huestis","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".485",".461",".389",".200","19.6","70.6","45.1","61.1","11.3","7.3","11.7","100.0","97.6","104.8"
