"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","James Johnson","31:40",".558",".556",".333",".444","3.8","25.3","14.0","28.1","1.6","6.5","8.5","17.2","119","128"
"3","Goran Dragic","27:14",".715",".654",".385",".538","0.0","9.8","4.6","74.6","1.8","0.0","0.0","27.4","159","134"
"4","Josh Richardson","26:51",".778",".778",".778",".000","4.5","0.0","2.4","0.0","3.7","0.0","30.8","22.5","86","131"
"5","Tyler Johnson","16:49","1.250","1.250",".500",".000","0.0","0.0","0.0","0.0","0.0","0.0","20.0","13.8","151","139"
"6","Hassan Whiteside","13:14",".906","1.000",".000","4.000","0.0","20.2","9.5","0.0","0.0","7.7","42.0","16.7","97","130"
"8","Kelly Olynyk","35:35",".580",".500",".833",".667","0.0","11.2","5.3","22.3","1.4","8.6","11.4","11.4","122","128"
"9","Justise Winslow","27:24",".654",".545",".545",".727","8.8","38.9","23.1","20.2","1.8","7.5","12.1","28.0","124","124"
"10","Dwyane Wade","25:04",".340",".200",".100",".400","0.0","10.6","5.0","32.8","2.0","4.1","25.4","29.2","71","131"
"11","Wayne Ellington","18:44",".300",".300",".800",".000","0.0","14.2","6.7","0.0","0.0","0.0","0.0","12.4","58","138"
"12","Bam Adebayo","14:30",".525",".667",".000","1.333","8.3","36.8","21.8","0.0","0.0","0.0","0.0","15.2","108","134"
"13","Rodney McGruder","1:59",".000",".000",".000",".000","0.0","67.2","31.8","0.0","0.0","0.0","0.0","23.4","0","131"
"14","Luke Babbitt","0:56",".000",".000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","49.7","0","140"
"15","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".611",".562",".452",".479","12.5","83.3","46.1","78.8","7.2","19.1","14.5","100.0","110.6","131.1"
