"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","James Johnson","31:40","4","9",".444","2","3",".667","2","4",".500","1","6","7","5","1","2","1","3","12","-19"
"3","Goran Dragic","27:14","8","13",".615","1","5",".200","6","7",".857","0","2","2","8","1","0","0","3","23","-8"
"4","Josh Richardson","26:51","5","9",".556","4","7",".571","0","0","","1","0","1","0","2","0","4","3","14","+2"
"5","Tyler Johnson","16:49","4","4","1.000","2","2","1.000","0","0","","0","0","0","0","0","0","1","3","10","-6"
"6","Hassan Whiteside","13:14","1","1","1.000","0","0","","3","4",".750","0","2","2","0","0","1","2","4","5","-3"
"8","Kelly Olynyk","35:35","2","6",".333","2","5",".400","3","4",".750","0","3","3","5","1","3","1","3","9","-20"
"9","Justise Winslow","27:24","4","11",".364","4","6",".667","7","8",".875","2","8","10","3","1","2","2","5","19","-27"
"10","Dwyane Wade","25:04","2","10",".200","0","1",".000","4","4","1.000","0","2","2","5","1","1","4","2","8","-4"
"11","Wayne Ellington","18:44","1","5",".200","1","4",".250","0","0","","0","2","2","0","0","0","0","2","3","-11"
"12","Bam Adebayo","14:30","2","3",".667","0","0","","1","4",".250","1","4","5","0","0","0","0","2","5","+1"
"13","Rodney McGruder","1:59","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-4"
"14","Luke Babbitt","0:56","0","1",".000","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1"
"15","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","33","73",".452","16","33",".485","26","35",".743","5","30","35","26","7","9","15","30","108",""
