"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Damian Lillard","35:00",".571",".464",".643",".571","0.0","10.5","5.0","9.1","0.0","0.0","31.3","30.4","83","124"
"3","CJ McCollum","33:17",".635",".625",".313",".188","0.0","3.7","1.8","18.0","1.4","0.0","18.8","26.7","106","122"
"4","Al-Farouq Aminu","30:44",".661",".633",".533",".133","14.5","16.0","15.2","6.4","3.1","2.6","11.2","24.3","126","114"
"5","Maurice Harkless","26:09",".313",".313",".625",".000","8.5","4.7","6.7","22.0","0.0","0.0","0.0","12.8","102","125"
"6","Jusuf Nurkic","20:19",".317",".286",".000",".286","11.0","30.3","20.2","14.6","4.7","0.0","20.2","20.3","74","111"
"8","Shabazz Napier","20:59",".512",".500",".250",".500","0.0","5.9","2.8","14.1","4.5","0.0","38.1","15.7","73","115"
"9","Ed Davis","16:39","","","","","0.0","59.1","28.1","0.0","0.0","0.0","100.0","5.0","0","118"
"10","Pat Connaughton","12:56",".000",".000","1.000",".000","8.6","0.0","4.5","10.0","0.0","0.0","50.0","6.5","51","125"
"11","Zach Collins","12:17",".510",".400",".200",".400","18.2","20.0","19.1","0.0","0.0","6.5","0.0","20.0","124","117"
"12","Jake Layman","7:55","1.000","1.000",".000",".000","0.0","15.5","7.4","32.2","12.0","0.0","0.0","15.8","203","97"
"13","Caleb Swanigan","7:55",".399",".000",".500","2.000","0.0","31.1","14.8","16.4","0.0","0.0","21.0","25.1","80","122"
"14","Wade Baldwin","7:55",".266",".000",".000","2.000","0.0","15.5","7.4","32.8","6.0","10.1","34.7","15.2","68","101"
"15","Meyers Leonard","7:55","1.000","1.000",".000",".000","0.0","62.2","29.6","0.0","0.0","0.0","0.0","21.1","200","118"
"16","Team Totals","240",".560",".519",".388",".313","25.6","84.6","53.7","51.4","9.9","5.0","20.9","100.0","100.9","117.8"
