"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Draymond Green","37:44","4","9",".444","2","5",".400","0","0","","2","4","6","7","2","4","2","2","10","+16"
"3","Klay Thompson","37:39","8","16",".500","3","6",".500","0","0","","0","3","3","2","0","0","1","2","19","+12"
"4","Kevin Durant","34:00","9","17",".529","1","6",".167","7","7","1.000","0","9","9","6","0","0","4","3","26","+18"
"5","Andre Iguodala","26:46","4","9",".444","1","5",".200","1","2",".500","0","4","4","4","0","0","0","1","10","+10"
"6","JaVale McGee","15:26","3","3","1.000","0","0","","0","0","","1","3","4","1","0","1","0","1","6","-5"
"8","Kevon Looney","22:28","2","4",".500","0","1",".000","0","0","","0","2","2","1","3","1","0","2","4","+17"
"9","Quinn Cook","20:49","5","9",".556","2","5",".400","0","0","","0","3","3","1","1","0","2","2","12","+2"
"10","Shaun Livingston","19:42","4","9",".444","0","1",".000","8","8","1.000","0","3","3","1","1","0","1","1","16","+7"
"11","David West","17:50","1","3",".333","0","1",".000","0","0","","1","3","4","3","1","1","0","1","2","+3"
"12","Nick Young","2:32","1","2",".500","1","2",".500","0","0","","0","0","0","0","0","0","0","0","3","-5"
"13","Damian Jones","2:32","1","1","1.000","0","0","","0","1",".000","0","1","1","0","0","0","0","1","2","-5"
"14","Jordan Bell","2:32","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-5"
"15","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","42","82",".512","10","32",".313","16","18",".889","4","35","39","26","8","7","10","16","110",""
