"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LaMarcus Aldridge","36:33",".688",".600",".000",".700","11.7","22.5","16.4","18.0","0.0","0.0","13.3","18.7","136","123"
"3","Patty Mills","33:15",".538",".538",".538",".000","0.0","8.2","3.6","10.2","3.1","2.9","18.8","21.8","89","114"
"4","Rudy Gay","31:03",".431",".409",".455",".364","3.4","22.1","11.6","10.0","1.6","0.0","0.0","18.6","100","119"
"5","Danny Green","20:02",".450",".450",".400",".000","5.3","20.5","12.0","0.0","0.0","4.8","0.0","22.6","97","118"
"6","Dejounte Murray","15:50",".571",".500",".143",".286","6.7","8.7","7.6","43.5","3.2","0.0","11.3","25.4","122","117"
"8","Davis Bertans","20:29",".644",".500","1.000",".667","0.0","26.8","11.7","13.5","0.0","0.0","0.0","8.6","150","122"
"9","Pau Gasol","18:28",".600",".600",".400",".000","0.0","52.0","22.7","0.0","0.0","5.2","28.6","17.2","78","115"
"10","Kyle Anderson","17:05",".429",".429",".286",".000","12.5","0.0","7.0","19.7","3.0","0.0","0.0","18.6","111","118"
"11","Manu Ginobili","16:57",".000",".000",".800",".000","6.3","8.1","7.1","0.0","6.0","5.7","16.7","16.1","13","105"
"12","Tony Parker","16:33",".563",".500",".167",".417","0.0","8.3","3.6","29.6","3.1","0.0","6.6","41.7","112","117"
"13","Bryn Forbes","8:41",".375",".375",".750",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.9","80","125"
"14","Brandon Paul","2:32","","","","","0.0","54.1","23.7","51.2","0.0","0.0","","0.0","219","120"
"15","Derrick White","2:32","","","","","0.0","0.0","0.0","0.0","0.0","37.9","","0.0","0","90"
"16","Team Totals","240",".506",".466",".379",".230","22.2","88.6","51.3","51.4","8.5","10.0","9.5","100.0","103.5","117.4"
