"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Victor Oladipo","38:58","5","15",".333","1","8",".125","7","8",".875","0","6","6","7","3","0","5","0","18","-1"
"3","Bojan Bogdanovic","35:48","11","15",".733","7","9",".778","1","3",".333","0","4","4","0","0","0","2","5","30","+18"
"4","Thaddeus Young","33:23","6","10",".600","0","0","","0","0","","5","2","7","1","3","2","1","4","12","+1"
"5","Myles Turner","30:22","4","11",".364","0","4",".000","0","0","","2","8","10","0","1","0","3","3","8","+11"
"6","Darren Collison","29:40","1","7",".143","0","2",".000","1","2",".500","0","2","2","3","1","0","2","2","3","-1"
"8","Domantas Sabonis","24:14","3","5",".600","0","1",".000","1","1","1.000","0","1","1","1","0","1","2","3","7","-4"
"9","Lance Stephenson","23:05","3","8",".375","0","1",".000","2","2","1.000","0","5","5","1","0","0","1","4","8","-11"
"10","Cory Joseph","19:09","1","2",".500","0","1",".000","4","4","1.000","0","0","0","4","0","0","1","1","6","-2"
"11","Trevor Booker","5:21","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","0","0","-1"
"12","Alex Poythress","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","34","73",".466","8","26",".308","16","20",".800","7","30","37","17","8","3","17","22","92",""
