"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Khris Middleton","32:58","10","17",".588","3","6",".500","0","1",".000","0","8","8","7","1","1","1","3","23","+17"
"3","Malcolm Brogdon","28:34","2","8",".250","1","4",".250","0","0","","1","2","3","3","0","0","2","3","5","+8"
"4","Giannis Antetokounmpo","27:21","8","13",".615","3","4",".750","0","0","","0","5","5","6","2","2","2","5","19","+16"
"5","Eric Bledsoe","26:59","8","13",".615","0","3",".000","1","1","1.000","1","3","4","4","0","1","1","3","17","+13"
"6","Tyler Zeller","18:50","1","1","1.000","0","0","","0","0","","0","2","2","1","1","1","0","3","2","+2"
"8","Jabari Parker","30:13","7","12",".583","1","4",".250","2","4",".500","2","3","5","2","1","1","1","4","17","+17"
"9","Thon Maker","24:19","3","5",".600","3","4",".750","5","7",".714","1","4","5","0","1","5","0","2","14","+23"
"10","Tony Snell","22:21","2","3",".667","2","3",".667","0","0","","1","2","3","1","1","1","0","0","6","+17"
"11","Matthew Dellavedova","16:05","2","2","1.000","1","1","1.000","0","0","","0","1","1","4","0","0","1","2","5","+12"
"12","Brandon Jennings","4:56","0","2",".000","0","2",".000","2","2","1.000","0","0","0","0","0","0","1","0","2","-1"
"13","Shabazz Muhammad","3:42","1","2",".500","1","1","1.000","0","0","","0","0","0","0","0","0","0","0","3","-2"
"14","Sterling Brown","3:42","1","1","1.000","1","1","1.000","0","0","","1","0","1","0","1","0","0","2","3","-2"
"15","Jason Terry","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","45","79",".570","16","33",".485","10","15",".667","7","30","37","28","8","12","9","27","116",""
