"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","DeMar DeRozan","35:23","10","22",".455","1","3",".333","2","2","1.000","0","3","3","4","1","1","3","1","23","-17"
"3","Kyle Lowry","34:49","6","14",".429","5","8",".625","2","2","1.000","1","3","4","8","3","0","5","5","19","-4"
"4","Serge Ibaka","28:30","1","4",".250","0","1",".000","1","2",".500","1","5","6","2","0","0","3","1","3","-4"
"5","OG Anunoby","26:08","4","5",".800","2","3",".667","2","2","1.000","0","3","3","1","1","0","1","2","12","-6"
"6","Jonas Valanciunas","23:18","6","8",".750","1","1","1.000","1","1","1.000","2","3","5","1","2","0","2","2","14","0"
"8","C.J. Miles","23:03","2","7",".286","1","5",".200","4","5",".800","0","1","1","1","0","0","0","0","9","-22"
"9","Delon Wright","19:27","2","8",".250","0","2",".000","2","2","1.000","0","1","1","1","1","0","0","3","6","-15"
"10","Pascal Siakam","16:06","2","3",".667","1","1","1.000","0","0","","1","3","4","1","0","1","0","0","5","-7"
"11","Lorenzo Brown","12:00","1","5",".200","0","1",".000","0","0","","1","2","3","0","0","1","1","2","2","0"
"12","Jakob Poeltl","9:42","2","3",".667","0","0","","1","1","1.000","2","2","4","0","0","1","2","3","5","-11"
"13","Norman Powell","6:21","1","3",".333","1","3",".333","2","2","1.000","0","0","0","1","0","0","1","0","5","-2"
"14","Lucas Nogueira","5:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-7"
"15","Alfonzo McKinnie","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","82",".451","12","28",".429","17","19",".895","8","26","34","20","8","4","18","19","103",""
