"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Ben Simmons","39:02",".576",".615",".000",".308","10.5","20.9","16.0","47.0","4.6","0.0","32.2","21.3","97","89"
"3","J.J. Redick","33:33",".581",".500",".500",".333","0.0","2.7","1.4","17.5","4.0","0.0","4.6","24.7","129","96"
"4","Joel Embiid","31:14",".419",".182",".364","1.182","6.5","29.0","18.4","4.7","1.4","10.2","32.4","30.3","68","85"
"5","Dario Saric","29:14",".396",".346",".308",".154","21.0","6.2","13.1","11.2","0.0","0.0","12.6","20.8","98","103"
"6","Robert Covington","27:29",".850",".800",".600",".400","0.0","19.8","10.5","11.4","1.6","0.0","25.4","11.0","129","95"
"8","Marco Belinelli","27:21",".601",".500",".571",".429","0.0","6.6","3.5","11.4","1.6","0.0","0.0","11.6","145","100"
"9","Ersan Ilyasova","23:22",".442",".450",".600",".300","13.1","19.4","16.4","7.4","1.9","0.0","15.0","21.8","91","96"
"10","Amir Johnson","10:57",".820",".750",".000",".500","9.3","0.0","4.4","19.2","4.1","0.0","17.0","20.6","142","97"
"11","T.J. McConnell","9:14",".500",".500",".000",".000","0.0","39.2","20.8","0.0","0.0","0.0","60.0","20.7","35","93"
"12","Justin Anderson","8:35",".000",".000","1.000",".000","11.9","10.6","11.2","0.0","0.0","0.0","0.0","4.5","56","101"
"13","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Timothe Luwawu-Cabarrot","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Richaun Holmes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".533",".470",".369",".417","36.2","75.5","57.0","61.1","11.2","6.7","20.7","100.0","98.8","95.1"
