"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Ben Simmons","39:02","8","13",".615","0","0","","1","4",".250","4","9","13","10","4","0","7","3","17","+3"
"3","J.J. Redick","33:33","8","18",".444","2","9",".222","6","6","1.000","0","1","1","3","3","0","1","2","24","+7"
"4","Joel Embiid","31:14","2","11",".182","0","4",".000","10","13",".769","2","10","12","1","1","5","8","4","14","-5"
"5","Dario Saric","29:14","4","13",".308","1","4",".250","2","2","1.000","6","2","8","2","0","0","2","4","11","-11"
"6","Robert Covington","27:29","3","5",".600","2","3",".667","2","2","1.000","0","6","6","2","1","0","2","5","10","+2"
"8","Marco Belinelli","27:21","3","7",".429","1","4",".250","3","3","1.000","0","2","2","2","1","0","0","2","10","+3"
"9","Ersan Ilyasova","23:22","4","10",".400","1","6",".167","1","3",".333","3","5","8","1","1","0","2","1","10","+16"
"10","Amir Johnson","10:57","3","4",".750","0","0","","2","2","1.000","1","0","1","1","1","0","1","1","8","+7"
"11","T.J. McConnell","9:14","1","2",".500","0","0","","0","0","","0","4","4","0","0","0","3","1","2","+1"
"12","Justin Anderson","8:35","0","1",".000","0","1",".000","0","0","","1","1","2","0","0","0","0","2","0","-3"
"13","Richaun Holmes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Timothe Luwawu-Cabarrot","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","36","84",".429","7","31",".226","27","35",".771","17","40","57","22","12","5","26","25","106",""
