"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jimmy Butler","41:26","10","19",".526","4","6",".667","4","6",".667","0","7","7","5","1","0","1","2","28","+19"
"3","Jeff Teague","40:34","9","14",".643","3","5",".600","2","3",".667","0","3","3","8","1","0","1","4","23","+13"
"4","Karl-Anthony Towns","38:33","5","13",".385","1","2",".500","7","7","1.000","3","13","16","3","1","2","3","4","18","+6"
"5","Andrew Wiggins","35:03","7","11",".636","4","6",".667","2","4",".500","2","3","5","5","1","1","1","1","20","+5"
"6","Taj Gibson","24:37","1","4",".250","0","0","","0","0","","2","2","4","1","0","0","0","2","2","+6"
"8","Derrick Rose","21:02","8","16",".500","1","2",".500","0","0","","0","0","0","2","2","0","1","1","17","+13"
"9","Jamal Crawford","18:17","2","7",".286","1","3",".333","1","2",".500","0","3","3","2","1","0","0","1","6","+8"
"10","Gorgui Dieng","9:27","2","3",".667","1","1","1.000","0","0","","0","0","0","2","2","0","0","1","5","+10"
"11","Tyus Jones","7:26","1","1","1.000","0","0","","0","0","","0","2","2","1","0","0","0","0","2","+3"
"12","Nemanja Bjelica","2:58","0","1",".000","0","1",".000","0","0","","1","0","1","0","0","0","0","0","0","-3"
"13","Aaron Brooks","0:37","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","0"
"14","Cole Aldrich","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Marcus Georges-Hunt","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","45","90",".500","15","27",".556","16","22",".727","8","33","41","29","9","3","7","16","121",""
