"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","CJ McCollum","45:12","15","22",".682","2","3",".667","6","7",".857","0","2","2","3","0","0","2","5","38","-9"
"3","Damian Lillard","45:03","7","16",".438","1","5",".200","4","5",".800","0","5","5","6","2","0","1","3","19","-7"
"4","Evan Turner","35:59","6","12",".500","1","3",".333","2","2","1.000","0","1","1","5","0","0","2","4","15","+2"
"5","Al-Farouq Aminu","34:33","11","20",".550","5","11",".455","0","0","","1","5","6","1","2","0","0","4","27","0"
"6","Jusuf Nurkic","33:24","9","13",".692","0","0","","0","0","","5","6","11","2","3","2","0","6","18","+2"
"8","Zach Collins","14:08","1","6",".167","0","2",".000","0","0","","0","1","1","3","1","0","0","2","2","-8"
"9","Ed Davis","13:27","0","1",".000","0","0","","1","2",".500","0","5","5","0","0","0","0","2","1","-8"
"10","Pat Connaughton","9:57","0","2",".000","0","2",".000","0","0","","0","0","0","0","0","0","0","1","0","-13"
"11","Wade Baldwin","8:17","1","3",".333","1","1","1.000","0","0","","0","2","2","0","0","0","1","1","3","+1"
"12","Shabazz Napier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Jake Layman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Caleb Swanigan","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Meyers Leonard","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","50","95",".526","10","27",".370","13","16",".813","6","27","33","20","8","2","6","28","123",""
