"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Paul George","40:27","7","16",".438","3","8",".375","6","6","1.000","0","2","2","3","2","0","3","2","23","-13"
"3","Russell Westbrook","37:22","5","17",".294","1","4",".250","3","4",".750","1","10","11","9","2","0","8","2","14","-25"
"4","Carmelo Anthony","31:19","6","10",".600","2","4",".500","0","0","","1","3","4","0","3","0","0","3","14","-20"
"5","Corey Brewer","27:58","3","6",".500","1","2",".500","2","2","1.000","2","4","6","1","1","1","1","4","9","-20"
"6","Steven Adams","26:24","4","6",".667","0","0","","0","0","","0","2","2","0","0","1","1","4","8","-2"
"8","Raymond Felton","21:16","5","10",".500","4","5",".800","0","0","","0","1","1","2","1","1","0","0","14","+2"
"9","Patrick Patterson","19:32","3","3","1.000","2","2","1.000","0","0","","0","3","3","0","1","0","3","3","8","-10"
"10","Jerami Grant","16:56","2","6",".333","0","1",".000","3","7",".429","1","2","3","0","1","0","1","3","7","+1"
"11","Alex Abrines","12:39","0","2",".000","0","1",".000","0","0","","0","0","0","1","0","0","0","2","0","+7"
"12","Terrance Ferguson","2:29","1","1","1.000","1","1","1.000","0","0","","1","0","1","1","0","0","0","0","3","+5"
"13","Josh Huestis","1:49","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","+5"
"14","Dakari Johnson","1:49","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+5"
"15","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","78",".474","14","28",".500","14","19",".737","6","27","33","17","11","3","17","23","102",""
