"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Rudy Gobert","40:58",".781",".750",".000","1.000","14.6","20.0","17.4","6.7","1.2","2.3","8.0","13.2","162","108"
"3","Ricky Rubio","36:59",".617",".556",".500",".389","3.2","31.7","17.6","42.8","2.7","2.6","15.9","29.4","128","103"
"4","Donovan Mitchell","34:58",".550",".550",".350",".000","6.9","30.1","18.6","9.3","2.8","2.7","20.0","31.0","96","102"
"5","Derrick Favors","33:51",".720",".800",".000","1.200","10.6","6.9","8.8","7.8","1.5","2.8","11.6","11.0","143","109"
"6","Joe Ingles","32:07",".661",".633",".667",".133","3.7","7.3","5.5","19.0","1.6","0.0","5.9","22.8","142","111"
"8","Jae Crowder","22:42",".400",".400",".600",".000","0.0","5.2","2.6","0.0","4.4","0.0","16.7","11.4","70","105"
"9","Royce O'Neale","15:49",".735","1.000","1.000","1.333","0.0","7.4","3.7","16.9","6.3","6.1","17.4","15.8","122","95"
"10","Dante Exum","9:32",".500",".500",".250",".000","0.0","24.6","12.4","31.5","0.0","0.0","42.9","31.8","70","112"
"11","Jonas Jerebko","5:59","","","","","20.1","19.6","19.8","0.0","8.3","0.0","100.0","7.2","52","93"
"12","Ekpe Udoh","2:18","","","","","0.0","0.0","0.0","0.0","0.0","0.0","100.0","18.8","0","115"
"13","Alec Burks","1:49",".500",".500",".500",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","47.7","103","116"
"14","David Stockton","1:29","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","116"
"15","Raul Neto","1:29","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","116"
"16","Team Totals","240",".626",".606",".425",".338","32.5","85.4","59.3","57.1","12.5","10.0","17.1","100.0","119.3","105.8"
