"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","46:09","12","22",".545","0","5",".000","8","9",".889","2","11","13","7","0","2","1","3","32","+3"
"3","J.R. Smith","35:18","4","12",".333","4","10",".400","0","0","","0","6","6","0","0","0","2","3","12","+2"
"4","Kevin Love","29:15","2","10",".200","0","3",".000","1","2",".500","5","6","11","1","2","1","2","3","5","+3"
"5","Kyle Korver","26:13","4","9",".444","4","9",".444","6","7",".857","0","3","3","1","0","2","0","1","18","+5"
"6","Jose Calderon","19:29","2","4",".500","1","2",".500","0","0","","0","2","2","2","0","0","1","2","5","-1"
"8","Jeff Green","24:23","3","5",".600","1","2",".500","1","2",".500","0","4","4","4","0","1","1","1","8","+7"
"9","Jordan Clarkson","22:19","5","9",".556","2","3",".667","0","0","","0","2","2","1","0","0","1","2","12","-2"
"10","Larry Nance","15:29","2","4",".500","0","0","","2","2","1.000","1","2","3","0","2","1","1","0","6","-2"
"11","Rodney Hood","13:57","1","2",".500","0","0","","4","4","1.000","0","0","0","0","0","0","1","2","6","-2"
"12","Tristan Thompson","7:28","0","1",".000","0","0","","0","0","","0","1","1","1","0","0","1","1","0","+7"
"13","Kendrick Perkins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","35","78",".449","12","34",".353","22","26",".846","8","37","45","17","4","7","11","18","104",""
