"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Victor Oladipo","41:10",".383",".325",".400",".250","2.4","13.2","7.6","17.1","0.0","5.3","11.9","27.5","83","115"
"3","Thaddeus Young","39:02",".436",".458",".167",".333","10.2","33.5","21.4","3.6","4.0","5.6","0.0","15.9","105","101"
"4","Bojan Bogdanovic","33:49",".385",".385",".615",".000","0.0","19.4","9.3","8.3","0.0","0.0","7.1","18.6","80","117"
"5","Darren Collison","31:48",".416",".393",".357",".071","0.0","17.2","8.2","37.2","1.6","0.0","0.0","20.4","110","114"
"6","Myles Turner","22:46",".944",".944",".444",".000","0.0","9.6","4.6","0.0","2.3","0.0","10.0","19.8","147","114"
"8","Domantas Sabonis","25:14",".764",".792",".083",".083","11.9","13.0","12.4","0.0","0.0","0.0","13.9","25.7","123","119"
"9","Lance Stephenson","23:09",".500",".500",".364",".000","4.3","4.7","4.5","42.0","2.3","4.7","8.3","23.3","114","112"
"10","Cory Joseph","16:12",".000",".000",".500",".000","6.2","6.7","6.4","22.2","3.2","0.0","0.0","5.6","91","113"
"11","Trevor Booker","6:50","1.136","","","","14.6","16.0","15.3","0.0","0.0","0.0","0.0","5.8","243","118"
"12","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".506",".495",".355",".140","22.9","81.8","51.1","62.5","7.6","11.4","7.5","100.0","108.6","112.9"
