"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Giannis Antetokounmpo","40:26",".596",".600",".100",".300","8.2","11.9","10.5","25.0","0.0","0.0","8.1","31.6","117","123"
"3","Khris Middleton","36:39",".730",".679",".357",".286","0.0","15.7","9.9","9.5","3.0","4.5","11.3","25.1","124","112"
"4","Eric Bledsoe","30:41",".436",".389",".222",".333","0.0","3.1","2.0","23.5","1.8","5.4","8.8","19.1","97","120"
"5","Malcolm Brogdon","30:34",".672",".643",".429",".143","0.0","12.6","8.0","9.9","0.0","0.0","11.8","14.3","118","123"
"6","Tyler Zeller","10:57",".694",".500",".000","1.000","0.0","35.1","22.2","13.0","5.0","15.1","0.0","13.6","151","90"
"8","Thon Maker","30:47",".667",".667",".833",".000","0.0","6.2","3.9","4.7","0.0","13.4","14.3","11.8","106","118"
"9","Jabari Parker","24:51",".633",".600",".300",".600","0.0","27.0","17.1","6.8","4.4","10.0","0.0","26.4","124","100"
"10","Tony Snell","17:46",".750",".750","1.000",".000","0.0","10.8","6.8","23.0","0.0","0.0","33.3","8.8","120","123"
"11","Matthew Dellavedova","17:19",".515",".333",".333",".667","0.0","16.6","10.5","31.5","3.1","0.0","20.5","14.6","113","114"
"12","Brandon Jennings","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Jason Terry","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Sterling Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Shabazz Muhammad","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".622",".589",".315",".329","6.9","68.0","45.6","63.2","7.9","24.1","9.7","100.0","117.8","115.5"
