"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Klay Thompson","42:24",".355",".313",".375",".125","4.4","7.7","6.0","3.8","1.3","0.0","15.1","19.8","83","121"
"3","Draymond Green","41:49",".321",".321",".429",".000","18.0","26.1","21.7","35.1","1.3","0.0","26.3","19.2","87","117"
"4","Kevin Durant","40:49",".547",".500",".464",".250","2.3","32.1","16.1","11.8","0.0","2.2","8.8","35.3","121","117"
"5","Andre Iguodala","26:23",".420",".000",".333","1.333","7.1","16.5","11.5","10.7","2.1","0.0","29.6","10.8","92","117"
"6","JaVale McGee","16:55",".509",".500",".000",".333","16.7","25.8","20.9","0.0","0.0","0.0","22.5","22.2","92","120"
"8","Shaun Livingston","21:06",".556",".556",".000",".000","4.5","10.3","7.2","20.1","5.2","0.0","0.0","18.0","139","111"
"9","Quinn Cook","15:12",".694",".500",".500","1.000","0.0","7.2","3.3","10.2","0.0","6.0","0.0","8.0","174","118"
"10","David West","13:37",".667",".667",".000",".000","13.8","8.0","11.1","17.7","4.1","0.0","14.3","21.7","126","114"
"11","Kevon Looney","13:14",".200",".200",".000",".000","35.6","0.0","19.1","11.9","0.0","0.0","0.0","16.0","99","125"
"12","Nick Young","8:31",".000",".000","1.000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","0","125"
"13","Damian Jones","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Jordan Bell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".462",".417",".311",".189","47.1","84.1","64.2","55.9","6.9","3.8","14.1","100.0","103.6","118.6"
