"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LaMarcus Aldridge","37:53","7","19",".368","3","3","1.000","5","5","1.000","2","8","10","0","1","1","1","2","22","+6"
"3","Rudy Gay","37:12","7","15",".467","0","2",".000","0","1",".000","2","5","7","2","2","0","1","3","14","+16"
"4","Patty Mills","36:08","3","8",".375","3","7",".429","0","1",".000","0","0","0","5","1","0","1","4","9","+21"
"5","Dejounte Murray","26:29","4","8",".500","3","4",".750","1","2",".500","1","3","4","2","1","1","1","1","12","+3"
"6","Danny Green","20:53","2","7",".286","2","5",".400","0","0","","2","0","2","0","0","1","0","2","6","-3"
"8","Manu Ginobili","25:15","5","10",".500","3","5",".600","3","4",".750","0","3","3","5","0","0","1","3","16","+18"
"9","Pau Gasol","19:02","1","2",".500","1","1","1.000","2","2","1.000","0","5","5","4","0","0","1","0","5","+3"
"10","Kyle Anderson","18:32","4","4","1.000","0","0","","2","2","1.000","0","3","3","0","0","1","0","2","10","+10"
"11","Tony Parker","16:05","4","7",".571","0","0","","1","2",".500","0","0","0","2","1","0","1","0","9","-8"
"12","Davis Bertans","2:31","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","1","0","-1"
"13","Bryn Forbes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joffrey Lauvergne","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Derrick White","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","81",".457","15","28",".536","14","19",".737","7","27","34","20","6","4","8","18","103",""
