"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Kyle Lowry","38:48",".615",".600",".400",".067","0.0","21.1","10.7","24.4","2.5","0.0","11.5","19.6","117","106"
"3","DeMar DeRozan","38:03",".474",".362",".138",".621","3.2","15.4","9.3","35.4","1.3","0.0","9.8","46.8","99","111"
"4","Serge Ibaka","34:10",".518",".500",".400",".800","7.0","27.4","17.3","0.0","1.4","4.1","37.2","13.7","71","104"
"5","OG Anunoby","22:25",".667",".667",".000",".000","5.4","0.0","2.6","7.2","4.3","0.0","0.0","5.8","149","107"
"6","Jonas Valanciunas","15:24",".751",".667",".000",".500","7.8","15.2","11.5","0.0","0.0","4.6","29.1","29.2","103","109"
"8","Delon Wright","27:00",".500",".500",".429",".000","4.4","8.7","6.6","31.0","1.8","2.6","0.0","11.3","129","109"
"9","Jakob Poeltl","24:27",".727",".667",".000",".333","14.7","19.2","17.0","7.5","2.0","0.0","22.5","15.8","123","107"
"10","C.J. Miles","21:21",".250",".250",".750",".000","0.0","5.5","2.8","7.1","2.3","0.0","42.9","14.3","35","110"
"11","Pascal Siakam","18:22",".307",".250",".000",".500","0.0","19.1","9.7","0.0","0.0","11.5","0.0","11.6","68","103"
"12","Alfonzo McKinnie","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Norman Powell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Lucas Nogueira","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".531",".475",".228",".380","22.5","78.0","50.6","55.9","9.1","10.3","16.3","100.0","99.1","107.2"
