"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","John Wall","43:04",".475",".417",".042",".417","0.0","16.7","8.3","56.0","4.5","0.0","12.3","32.3","104","96"
"3","Otto Porter","39:44",".615",".625",".375",".500","2.9","15.1","8.9","3.5","1.2","4.0","9.3","11.6","116","101"
"4","Bradley Beal","31:32",".702",".658",".368",".368","7.4","11.4","9.4","12.8","0.0","0.0","15.3","35.6","119","107"
"5","Markieff Morris","30:34",".429",".429",".143",".000","7.7","11.8","9.7","4.6","1.6","7.7","12.5","11.3","92","98"
"6","Marcin Gortat","27:55",".644",".750",".000",".375","4.2","21.5","12.7","6.0","0.0","0.0","9.7","15.9","113","104"
"8","Kelly Oubre","23:53",".551",".333",".167","1.167","0.0","25.1","12.4","11.5","4.1","0.0","9.9","18.1","114","95"
"9","Ty Lawson","14:52",".000",".000",".000",".000","0.0","8.1","4.0","8.3","6.5","0.0","0.0","11.6","16","94"
"10","Mike Scott","14:51",".400",".400",".600",".000","7.9","8.1","8.0","9.9","0.0","5.3","16.7","17.4","82","104"
"11","Ian Mahinmi","7:44",".667",".667",".000",".000","15.1","31.0","23.0","0.0","0.0","20.4","0.0","16.7","139","87"
"12","Tomas Satoransky","5:51",".000",".000","1.000",".000","20.0","0.0","10.1","0.0","0.0","0.0","0.0","7.3","65","110"
"13","Tim Frazier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jodie Meeks","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended"
"16","Team Totals","240",".537",".500",".200",".365","22.0","77.5","49.4","59.0","10.1","13.1","11.6","100.0","107.2","99.1"
