"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Chris Paul","33:53",".666",".618",".294",".235","3.0","15.4","9.0","31.2","7.2","0.0","5.1","25.6","141","93"
"3","James Harden","33:15",".619",".558",".423",".269","0.0","12.6","6.1","19.1","5.9","2.3","3.3","39.7","126","94"
"4","Trevor Ariza","33:00",".638",".550",".800",".400","0.0","6.3","3.1","12.8","1.5","0.0","0.0","15.6","142","107"
"5","Clint Capela","31:54",".549",".545",".000",".364","21.9","32.7","27.2","14.6","0.0","9.7","7.3","18.9","133","97"
"6","P.J. Tucker","24:27",".500",".500",".667",".000","0.0","17.1","8.4","0.0","0.0","3.2","0.0","5.4","102","106"
"8","Eric Gordon","29:48",".605",".571",".714",".143","0.0","3.5","1.7","10.6","1.6","0.0","0.0","21.9","128","108"
"9","Ryan Anderson","17:04",".000",".000","1.000",".000","0.0","6.1","3.0","7.0","0.0","0.0","0.0","7.7","23","110"
"10","Gerald Green","16:29",".258",".000","1.000",".667","6.1","19.0","12.4","0.0","0.0","0.0","34.0","15.6","50","107"
"11","Nene Hilario","14:04",".463",".333",".000","1.000","7.1","29.7","18.2","18.7","0.0","0.0","18.8","16.6","104","105"
"12","Tarik Black","2:02","","","","","0.0","51.3","25.1","0.0","0.0","0.0","","0.0","0","100"
"13","Aaron Jackson","2:02",".000",".000","1.000",".000","0.0","51.3","25.1","0.0","0.0","0.0","0.0","21.6","0","96"
"14","Joe Johnson","2:02","1.000","1.000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.6","200","113"
"15","Zhou Qi","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".575",".522",".467",".283","20.8","78.3","48.9","50.0","11.3","9.7","5.5","100.0","121.7","102.3"
