"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Chris Paul","33:53","9","17",".529","3","5",".600","4","4","1.000","1","5","6","6","5","0","1","1","25","+11"
"3","James Harden","33:15","12","26",".462","5","11",".455","7","7","1.000","0","4","4","3","4","1","1","4","36","+21"
"4","Trevor Ariza","33:00","4","10",".400","3","8",".375","4","4","1.000","0","2","2","3","1","0","0","4","15","+23"
"5","Clint Capela","31:54","6","11",".545","0","0","","2","4",".500","7","10","17","3","0","4","1","2","14","0"
"6","P.J. Tucker","24:27","1","3",".333","1","2",".500","0","0","","0","4","4","0","0","1","0","1","3","+26"
"8","Eric Gordon","29:48","6","14",".429","4","10",".400","2","2","1.000","0","1","1","2","1","0","0","0","18","+1"
"9","Ryan Anderson","17:04","0","3",".000","0","3",".000","0","0","","0","1","1","1","0","0","0","2","0","-2"
"10","Gerald Green","16:29","0","3",".000","0","3",".000","2","2","1.000","1","3","4","0","0","0","2","1","2","-4"
"11","Nene Hilario","14:04","1","3",".333","0","0","","2","3",".667","1","4","5","2","0","0","1","1","4","+19"
"12","Joe Johnson","2:02","1","1","1.000","0","0","","0","0","","0","0","0","0","0","0","0","0","2","0"
"13","Aaron Jackson","2:02","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","0"
"14","Tarik Black","2:02","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0"
"15","Zhou Qi","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","40","92",".435","16","43",".372","23","26",".885","10","36","46","20","11","6","6","17","119",""
