"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Jimmy Butler","38:06",".495",".441",".235",".294","5.5","18.4","12.1","20.9","0.0","0.0","5.0","23.1","111","124"
"3","Karl-Anthony Towns","31:53",".624",".600",".133",".400","16.4","31.4","24.0","11.8","0.0","0.0","22.1","31.0","105","120"
"4","Andrew Wiggins","29:14",".444",".393",".357",".286","0.0","10.3","5.2","5.3","0.0","0.0","6.0","25.0","90","126"
"5","Jeff Teague","28:04",".143",".143",".429",".000","0.0","3.6","1.8","22.9","0.0","0.0","30.0","15.5","47","128"
"6","Taj Gibson","20:16","1.000","1.000",".000",".000","5.1","9.9","7.6","0.0","0.0","0.0","0.0","2.2","205","126"
"8","Derrick Rose","32:25",".715",".727",".182",".182","0.0","18.5","9.5","20.7","0.0","0.0","25.2","21.4","106","124"
"9","Jamal Crawford","23:36",".460",".450",".200",".200","0.0","8.5","4.3","26.4","6.2","0.0","15.5","23.8","90","112"
"10","Nemanja Bjelica","16:15",".717",".750",".500",".500","6.4","12.3","9.4","8.9","3.0","0.0","0.0","13.1","150","118"
"11","Gorgui Dieng","16:07",".750",".750","1.000",".000","0.0","31.0","15.8","8.3","0.0","6.1","0.0","5.4","156","116"
"12","Aaron Brooks","2:02",".694","1.000",".000","1.000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","61.7","139","129"
"13","Marcus Georges-Hunt","2:02",".000",".000",".000",".000","51.3","0.0","25.1","0.0","0.0","0.0","0.0","21.4","62","129"
"14","Tyus Jones","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Cole Aldrich","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".531",".512",".262",".274","21.7","79.2","51.1","59.0","4.1","2.0","14.5","100.0","102.3","121.7"
