"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Klay Thompson","41:29","11","22",".500","1","5",".200","1","1","1.000","1","4","5","4","0","1","2","2","24","+1"
"3","Kevin Durant","40:30","8","19",".421","1","8",".125","8","8","1.000","0","6","6","5","1","2","5","1","25","+8"
"4","Draymond Green","39:49","5","11",".455","2","7",".286","5","7",".714","5","14","19","7","0","0","1","5","17","+3"
"5","Andre Iguodala","31:04","3","8",".375","1","4",".250","0","0","","0","2","2","3","1","0","0","3","7","+2"
"6","JaVale McGee","14:20","2","5",".400","0","0","","0","0","","0","4","4","1","0","1","0","1","4","+3"
"8","Kevon Looney","22:34","2","5",".400","0","1",".000","4","7",".571","0","3","3","1","1","0","0","4","8","-2"
"9","David West","18:14","2","4",".500","0","0","","0","0","","1","6","7","3","2","1","1","2","4","+4"
"10","Shaun Livingston","18:02","4","7",".571","0","0","","0","0","","1","0","1","1","0","0","1","0","8","+12"
"11","Quinn Cook","7:34","0","1",".000","0","1",".000","2","2","1.000","0","0","0","0","0","0","0","1","2","+5"
"12","Nick Young","6:24","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","0","0","+4"
"13","Damian Jones","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jordan Bell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","37","83",".446","5","27",".185","20","25",".800","8","39","47","25","5","5","10","19","99",""
