"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LaMarcus Aldridge","40:20",".621",".444",".111",".778","6.9","24.9","15.0","21.2","1.3","0.0","7.6","28.6","130","104"
"3","Patty Mills","36:28",".600",".600",".667",".000","5.1","9.2","6.9","0.0","0.0","0.0","6.3","19.4","112","110"
"4","Rudy Gay","32:51",".300",".300",".267",".000","2.8","10.2","6.2","11.2","0.0","0.0","11.8","22.9","63","109"
"5","Dejounte Murray","18:14",".410",".333",".167",".500","5.1","42.9","22.2","0.0","0.0","0.0","0.0","17.7","95","102"
"6","Danny Green","15:34",".000",".000",".800",".000","5.9","0.0","3.2","0.0","0.0","0.0","16.7","17.0","11","112"
"8","Manu Ginobili","24:51",".601",".500",".571",".429","0.0","22.5","10.2","51.6","0.0","0.0","19.4","18.3","117","107"
"9","Pau Gasol","17:32",".129",".000",".000",".667","10.5","25.5","17.3","25.7","0.0","0.0","20.5","12.3","66","106"
"10","Kyle Anderson","16:58","1.000","1.000",".000",".000","16.3","6.6","11.9","0.0","9.1","0.0","37.5","20.8","107","91"
"11","Davis Bertans","15:40",".500",".500","1.000",".000","0.0","14.3","6.5","31.8","3.3","0.0","0.0","8.5","129","102"
"12","Tony Parker","14:16",".286",".286",".143",".000","0.0","7.8","3.5","13.3","0.0","0.0","12.5","24.8","58","110"
"13","Bryn Forbes","7:16",".000",".000",".500",".000","0.0","0.0","0.0","20.6","0.0","0.0","0.0","12.2","26","112"
"14","Derrick White","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Joffrey Lauvergne","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".476",".413",".349",".256","25.0","81.4","50.5","65.6","5.3","0.0","12.0","100.0","97.2","105.8"
