"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Goran Dragic","35:09","6","16",".375","2","6",".333","1","2",".500","0","1","1","5","0","0","5","3","15","-10"
"3","James Johnson","31:41","2","5",".400","0","2",".000","0","0","","0","5","5","5","1","2","1","5","4","-6"
"4","Tyler Johnson","18:46","7","11",".636","2","4",".500","0","1",".000","0","1","1","1","1","0","0","6","16","-4"
"5","Hassan Whiteside","10:05","0","4",".000","0","0","","2","4",".500","4","1","5","0","0","1","1","3","2","-14"
"6","Josh Richardson","7:22","0","1",".000","0","0","","0","0","","0","0","0","0","0","1","0","3","0","-17"
"8","Kelly Olynyk","37:19","7","16",".438","1","7",".143","3","5",".600","2","6","8","6","3","1","1","5","18","+3"
"9","Dwyane Wade","30:54","4","15",".267","0","2",".000","3","4",".750","0","5","5","5","1","0","1","1","11","+7"
"10","Justise Winslow","25:08","3","9",".333","2","6",".333","4","4","1.000","2","5","7","2","1","0","1","1","12","+6"
"11","Wayne Ellington","20:47","3","8",".375","3","7",".429","0","0","","0","1","1","0","0","1","1","1","9","-12"
"12","Bam Adebayo","16:18","2","2","1.000","0","0","","0","2",".000","2","2","4","0","0","0","0","2","4","-11"
"13","Rodney McGruder","6:31","0","1",".000","0","1",".000","0","0","","0","3","3","0","0","0","0","2","0","-7"
"14","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Luke Babbitt","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","34","88",".386","10","35",".286","13","22",".591","10","30","40","24","7","6","11","32","91",""
