"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Trevor Ariza","38:27","5","11",".455","4","7",".571","2","2","1.000","0","4","4","3","0","0","0","4","16","+24"
"3","James Harden","37:36","8","21",".381","4","11",".364","4","4","1.000","1","4","5","12","2","2","3","2","24","+16"
"4","Chris Paul","34:09","6","16",".375","0","8",".000","0","0","","0","5","5","9","0","0","0","1","12","+4"
"5","Clint Capela","33:24","12","14",".857","0","0","","2","4",".500","4","11","15","1","0","1","0","1","26","+15"
"6","P.J. Tucker","33:06","5","8",".625","5","7",".714","0","0","","0","3","3","2","0","0","1","4","15","+8"
"8","Eric Gordon","31:52","5","11",".455","3","7",".429","6","7",".857","1","0","1","0","1","1","0","3","19","+13"
"9","Ryan Anderson","10:22","2","3",".667","1","2",".500","0","0","","1","2","3","1","0","0","0","0","5","+4"
"10","Nene Hilario","10:08","1","2",".500","0","0","","0","2",".000","1","1","2","0","0","0","0","1","2","0"
"11","Gerald Green","8:36","1","2",".500","1","2",".500","0","0","","0","2","2","0","0","1","0","1","3","-3"
"12","Tarik Black","0:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+3"
"13","Aaron Jackson","0:47","0","0","","0","0","","0","0","","0","0","0","1","0","0","0","0","0","+3"
"14","Zhou Qi","0:46","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","+3"
"15","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","45","88",".511","18","44",".409","14","19",".737","8","32","40","29","3","5","4","17","122",""
