"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Andrew Wiggins","37:13",".421",".393",".286",".429","0.0","12.6","6.6","0.0","0.0","0.0","10.7","25.1","74","138"
"3","Jeff Teague","36:31",".539",".536",".357",".286","7.1","6.4","6.7","28.7","0.0","0.0","6.0","23.0","119","139"
"4","Karl-Anthony Towns","35:30",".730",".679",".143",".286","3.7","42.9","24.3","19.4","0.0","3.1","11.3","25.1","134","130"
"5","Jimmy Butler","29:42",".400",".400",".100",".000","0.0","19.7","10.4","24.1","1.8","3.7","0.0","16.9","101","130"
"6","Taj Gibson","23:25",".714",".714",".000",".000","5.5","5.0","5.3","0.0","0.0","4.7","0.0","15.0","141","136"
"8","Jamal Crawford","25:55",".919",".900",".300",".200","0.0","9.0","4.7","14.7","2.1","0.0","21.6","26.8","133","134"
"9","Derrick Rose","24:00",".685",".571",".429",".571","0.0","0.0","0.0","11.8","0.0","0.0","0.0","18.3","144","141"
"10","Gorgui Dieng","12:30",".000",".000",".000",".000","10.4","28.1","19.7","0.0","0.0","0.0","0.0","8.0","44","135"
"11","Tyus Jones","11:29",".000",".000","1.000",".000","0.0","20.4","10.7","31.3","0.0","0.0","0.0","4.4","109","137"
"12","Nemanja Bjelica","2:58","","","","","0.0","39.5","20.7","0.0","0.0","0.0","","0.0","0","133"
"13","Marcus Georges-Hunt","0:47","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","141"
"14","Aaron Brooks","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Cole Aldrich","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".592",".563",".241",".253","13.5","80.5","48.7","57.5","2.2","6.8","8.4","100.0","115.6","135.6"
