"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Paul George","44:39","12","26",".462","2","6",".333","8","10",".800","1","7","8","2","2","1","2","5","34","+13"
"3","Russell Westbrook","44:00","17","39",".436","5","9",".556","6","6","1.000","3","12","15","7","0","0","5","3","45","+10"
"4","Steven Adams","40:36","2","6",".333","0","0","","2","2","1.000","1","5","6","1","2","0","0","1","6","+16"
"5","Carmelo Anthony","25:25","2","6",".333","0","2",".000","3","4",".750","0","5","5","0","2","0","0","2","7","-6"
"6","Corey Brewer","23:18","2","4",".500","1","2",".500","0","0","","0","3","3","1","0","0","0","3","5","-10"
"8","Alex Abrines","24:42","1","3",".333","1","2",".500","0","0","","1","3","4","1","2","1","0","2","3","+18"
"9","Jerami Grant","23:12","2","2","1.000","0","0","","0","0","","1","1","2","0","1","0","0","1","4","+13"
"10","Patrick Patterson","6:47","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","-7"
"11","Raymond Felton","4:00","1","2",".500","0","0","","0","0","","0","1","1","1","0","0","1","1","2","-2"
"12","Josh Huestis","3:21","0","1",".000","0","0","","1","2",".500","0","0","0","0","0","1","0","1","1","-5"
"13","Terrance Ferguson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Dakari Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","39","89",".438","9","21",".429","20","24",".833","7","37","44","13","9","3","8","21","107",""
