"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Jaylen Brown","40:22",".429",".433",".400",".200","0.0","14.9","6.8","0.0","0.0","2.4","10.9","22.1","72","111"
"3","Terry Rozier","37:11",".447",".412",".706",".118","2.7","19.4","10.4","27.4","1.5","0.0","5.3","24.8","95","109"
"4","Al Horford","33:28",".625",".625",".500",".000","6.1","28.7","16.5","23.6","0.0","5.9","20.0","14.6","111","106"
"5","Jayson Tatum","32:28",".612",".500",".429",".643","0.0","11.1","5.1","21.0","3.4","0.0","14.3","31.5","108","106"
"6","Semi Ojeleye","21:39",".000",".000","1.000",".000","4.7","16.6","10.2","0.0","0.0","0.0","0.0","2.3","61","113"
"8","Marcus Morris","26:29",".457",".393",".286",".214","0.0","4.5","2.1","17.3","0.0","0.0","0.0","28.2","96","115"
"9","Marcus Smart","26:06",".304",".222",".333",".222","0.0","9.2","4.2","7.0","0.0","0.0","9.2","20.3","61","115"
"10","Aron Baynes","9:13","1.000","1.000",".000",".000","11.1","39.1","23.9","21.0","0.0","0.0","0.0","5.3","213","110"
"11","Shane Larkin","9:03","1.000","1.000",".000",".000","0.0","13.3","6.1","43.0","0.0","0.0","0.0","5.4","212","114"
"12","Greg Monroe","3:13",".000",".000",".000",".000","31.7","0.0","17.2","0.0","0.0","0.0","0.0","15.2","61","117"
"13","Abdel Nader","0:24","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","117"
"14","Guerschon Yabusele","0:24","","","","","0.0","100.0","100.0","0.0","0.0","0.0","","0.0","0","65"
"15","Team Totals","240",".481",".432",".444",".235","12.8","82.5","44.8","60.0","3.4","6.1","9.2","100.0","97.7","110.2"
