"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jaylen Brown","40:22","6","15",".400","1","6",".167","1","3",".333","0","5","5","0","0","1","2","5","14","-7"
"3","Terry Rozier","37:11","5","17",".294","4","12",".333","2","2","1.000","1","6","7","5","1","0","1","3","16","-10"
"4","Al Horford","33:28","4","8",".500","2","4",".500","0","0","","2","8","10","4","0","2","2","4","10","-6"
"5","Jayson Tatum","32:28","6","14",".429","2","6",".333","8","9",".889","0","3","3","3","2","0","3","3","22","-7"
"6","Semi Ojeleye","21:39","0","1",".000","0","1",".000","0","0","","1","3","4","0","0","0","0","1","0","-2"
"8","Marcus Morris","26:29","5","14",".357","1","4",".250","3","3","1.000","0","1","1","2","0","0","0","2","14","-8"
"9","Marcus Smart","26:06","2","9",".222","0","3",".000","2","2","1.000","0","2","2","1","0","0","1","1","6","-14"
"10","Aron Baynes","9:13","1","1","1.000","0","0","","0","0","","1","3","4","1","0","0","0","0","2","-2"
"11","Shane Larkin","9:03","1","1","1.000","0","0","","0","0","","0","1","1","2","0","0","0","0","2","+1"
"12","Greg Monroe","3:13","0","1",".000","0","0","","0","0","","1","0","1","0","0","0","0","0","0","0"
"13","Guerschon Yabusele","0:24","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","0"
"14","Abdel Nader","0:24","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","0"
"15","Team Totals","240","30","81",".370","10","36",".278","16","19",".842","6","33","39","18","3","3","9","19","86",""
