"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","31:11",".604",".531",".375",".313","0.0","22.0","9.9","48.5","1.7","5.4","18.0","34.2","111","127"
"3","J.R. Smith","27:46",".500",".500",".889",".000","4.0","9.9","6.6","0.0","0.0","0.0","18.2","19.0","82","138"
"4","Kyle Korver","24:47",".750",".750","1.000",".000","0.0","5.5","2.5","6.6","0.0","0.0","33.3","11.6","95","139"
"5","Kevin Love","24:18",".350",".350",".400",".000","0.0","39.5","17.7","0.0","0.0","0.0","16.7","23.7","58","133"
"6","Jose Calderon","13:39",".000",".000","1.000",".000","0.0","10.0","4.5","10.7","3.9","0.0","0.0","7.0","30","129"
"8","Rodney Hood","24:57",".500",".500",".167",".000","0.0","16.5","7.4","9.0","0.0","0.0","14.3","26.9","85","136"
"9","Jordan Clarkson","24:14",".282",".250",".500",".250","4.6","0.0","2.5","27.3","0.0","0.0","0.0","17.6","86","140"
"10","Jeff Green","24:11",".604",".611",".667",".444","4.6","5.7","5.1","7.9","0.0","0.0","0.0","21.3","126","139"
"11","Larry Nance","18:40",".872","1.000",".000",".333","12.0","29.4","19.8","0.0","2.8","0.0","0.0","8.8","179","128"
"12","Tristan Thompson","14:03",".521",".500",".000","1.000","15.9","19.5","17.5","11.5","0.0","0.0","25.8","13.3","106","137"
"13","Cedi Osman","8:05",".258",".333",".667",".667","0.0","0.0","0.0","0.0","6.6","0.0","0.0","23.0","52","124"
"14","Ante Zizic","4:09","1.000","1.000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","50.0","23.1","75","140"
"15","Kendrick Perkins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".506",".494",".481",".203","16.3","74.3","42.3","48.5","4.4","3.5","14.0","100.0","96.4","134.0"
