"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Paul George","45:27",".148",".125",".375",".125","0.0","7.0","3.6","24.2","1.2","0.0","26.2","21.6","46","109"
"3","Russell Westbrook","43:48",".504",".500",".442",".140","2.5","21.9","12.3","31.7","2.4","0.0","9.9","49.7","103","101"
"4","Steven Adams","39:18",".830",".818",".000",".091","22.2","21.7","22.0","14.1","1.3","2.2","8.0","13.6","166","102"
"5","Carmelo Anthony","25:39",".444",".429",".000",".286","0.0","12.5","6.3","0.0","0.0","0.0","11.3","14.9","86","109"
"6","Corey Brewer","15:15",".500",".500",".500",".000","0.0","0.0","0.0","0.0","0.0","5.6","0.0","5.6","111","108"
"8","Jerami Grant","29:30",".654",".667",".667",".333","7.4","3.6","5.5","10.1","0.0","2.9","0.0","10.0","153","109"
"9","Alex Abrines","20:02",".000",".000",".667",".000","10.9","21.3","16.2","0.0","2.6","4.3","0.0","6.4","38","98"
"10","Raymond Felton","11:16",".300",".300",".400",".000","19.4","47.3","33.5","26.0","0.0","0.0","0.0","19.1","105","99"
"11","Josh Huestis","8:31","","","","","0.0","12.5","6.3","0.0","6.2","0.0","","0.0","0","94"
"12","Patrick Patterson","1:15","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","114"
"13","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Dakari Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Terrance Ferguson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".461",".452",".366",".140","34.1","75.6","55.1","54.1","6.6","7.1","11.6","100.0","99.3","104.8"
