"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Bradley Beal","43:20","10","22",".455","6","10",".600","6","6","1.000","0","3","3","1","0","2","6","3","32","-13"
"3","John Wall","40:15","9","22",".409","1","5",".200","4","4","1.000","1","4","5","8","1","1","4","2","23","-3"
"4","Markieff Morris","38:02","5","9",".556","0","2",".000","2","3",".667","7","8","15","1","0","1","2","4","12","0"
"5","Marcin Gortat","31:10","0","3",".000","0","0","","2","2","1.000","2","5","7","2","0","1","2","1","2","-8"
"6","Kelly Oubre","26:26","1","7",".143","1","3",".333","0","0","","0","3","3","0","0","0","0","4","3","+1"
"8","Ty Lawson","19:57","2","4",".500","0","1",".000","2","2","1.000","0","3","3","0","1","0","0","3","6","-11"
"9","Tomas Satoransky","17:51","1","3",".333","0","1",".000","0","0","","1","0","1","0","0","0","0","1","2","-6"
"10","Mike Scott","14:57","3","7",".429","0","0","","2","2","1.000","0","5","5","0","1","0","0","0","8","-6"
"11","Ian Mahinmi","8:02","1","2",".500","0","0","","2","2","1.000","0","0","0","0","0","0","0","1","4","-4"
"12","Tim Frazier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Chris McCullough","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Ramon Sessions","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","32","79",".405","8","22",".364","20","21",".952","11","31","42","12","3","5","14","19","92",""
