"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Giannis Antetokounmpo","41:34","7","17",".412","1","4",".250","7","7","1.000","2","7","9","5","1","1","4","5","22","-16"
"3","Khris Middleton","41:14","11","18",".611","5","9",".556","5","5","1.000","0","2","2","3","0","1","2","5","32","0"
"4","Eric Bledsoe","34:01","9","12",".750","1","2",".500","4","4","1.000","0","4","4","2","1","0","4","4","23","+3"
"5","Malcolm Brogdon","30:28","1","8",".125","0","2",".000","0","0","","0","3","3","4","0","0","1","0","2","-7"
"6","Thon Maker","25:11","2","4",".500","1","3",".333","0","0","","1","5","6","4","0","0","0","1","5","+8"
"8","Jabari Parker","29:06","4","8",".500","0","1",".000","1","2",".500","0","6","6","2","2","0","1","4","9","-24"
"9","Jason Terry","20:23","1","4",".250","1","4",".250","0","0","","1","0","1","1","0","0","0","0","3","+4"
"10","Matthew Dellavedova","7:45","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-21"
"11","Tyler Zeller","4:04","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","-13"
"12","Tony Snell","3:23","0","1",".000","0","1",".000","0","0","","0","0","0","0","0","0","1","0","0","-11"
"13","Shabazz Muhammad","2:51","0","1",".000","0","0","","0","0","","0","1","1","0","0","1","1","0","0","-3"
"14","Sterling Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Brandon Jennings","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","35","74",".473","9","27",".333","17","18",".944","4","28","32","21","4","3","15","20","96",""
