"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Victor Oladipo","41:27","10","21",".476","4","9",".444","6","9",".667","0","12","12","6","3","0","2","1","30","+1"
"3","Darren Collison","40:26","9","13",".692","1","3",".333","4","4","1.000","0","1","1","2","1","0","2","3","23","+4"
"4","Thaddeus Young","37:37","6","13",".462","1","3",".333","1","2",".500","5","5","10","4","1","0","2","3","14","-7"
"5","Bojan Bogdanovic","37:02","1","9",".111","1","7",".143","0","0","","0","0","0","2","1","0","3","5","3","+4"
"6","Myles Turner","25:02","2","3",".667","0","1",".000","4","5",".800","1","3","4","0","0","0","0","6","8","+10"
"8","Domantas Sabonis","26:01","3","10",".300","0","1",".000","4","4","1.000","3","2","5","0","0","0","1","6","10","-6"
"9","Cory Joseph","13:23","1","3",".333","1","2",".500","0","0","","0","1","1","1","0","0","1","1","3","0"
"10","Lance Stephenson","11:57","3","6",".500","2","4",".500","0","0","","0","1","1","0","0","0","0","2","8","-19"
"11","Trevor Booker","7:04","1","2",".500","0","1",".000","0","0","","1","2","3","0","0","0","0","1","2","-7"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","36","80",".450","10","31",".323","19","24",".792","10","27","37","15","6","0","11","28","101",""
