"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Ben Simmons","41:52",".568",".545",".000","1.000","0.0","20.6","9.9","24.5","2.4","2.3","30.6","23.7","86","118"
"3","Joel Embiid","35:01",".656",".619",".238",".286","3.3","42.2","22.0","36.9","1.4","0.0","11.3","33.1","122","119"
"4","J.J. Redick","34:04",".658",".615",".538",".385","3.4","7.2","5.2","16.8","0.0","0.0","6.2","20.7","132","128"
"5","Dario Saric","33:01",".505",".455",".364",".182","17.3","7.5","12.6","21.0","1.5","0.0","0.0","15.6","130","124"
"6","Robert Covington","26:54",".205",".000",".667",".500","0.0","9.2","4.4","5.1","3.7","3.6","0.0","11.8","58","115"
"8","Marco Belinelli","28:02",".511",".389",".222",".444","0.0","4.4","2.1","5.7","0.0","0.0","0.0","16.7","116","128"
"9","Ersan Ilyasova","21:15",".279",".222",".333",".444","16.1","34.8","25.1","14.8","2.4","0.0","8.5","24.1","77","118"
"10","T.J. McConnell","6:08",".000",".000",".000",".000","18.6","0.0","9.7","0.0","0.0","0.0","0.0","7.1","62","129"
"11","Justin Anderson","5:16",".000",".000","1.000",".000","0.0","46.7","22.5","0.0","0.0","0.0","0.0","8.3","0","122"
"12","Amir Johnson","4:59","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","128"
"13","Jerryd Bayless","1:44","","","","","0.0","0.0","0.0","0.0","0.0","0.0","","0.0","0","129"
"14","Richaun Holmes","1:44",".000",".000",".000",".000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.1","0","129"
"15","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".513",".452",".313",".422","26.2","87.2","55.6","62.9","7.3","4.0","10.9","100.0","105.1","121.8"
