"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Kevin Durant","41:18",".566",".522",".304",".261","0.0","13.4","7.3","26.9","2.1","5.1","7.2","27.0","112","104"
"3","Draymond Green","40:45",".758",".727",".455",".455","2.7","18.1","11.2","40.7","1.1","3.5","7.0","14.1","158","106"
"4","Klay Thompson","37:47",".250",".250",".550",".000","5.9","9.8","8.0","10.1","0.0","0.0","9.1","23.5","60","114"
"5","Andre Iguodala","33:49",".677",".688",".375",".875","3.3","19.1","12.0","7.9","3.9","2.1","15.3","15.6","115","101"
"6","Nick Young","11:10",".375",".375","1.000",".000","0.0","8.3","4.5","11.1","0.0","0.0","20.0","18.1","66","114"
"8","Stephen Curry","27:14",".774",".700",".667",".467","0.0","23.7","13.0","12.2","4.8","0.0","24.9","35.7","106","100"
"9","Kevon Looney","22:53","1.031","1.000",".000",".667","14.6","20.2","17.7","5.7","1.9","0.0","0.0","6.8","221","107"
"10","Shaun Livingston","14:11",".400",".400",".000",".000","0.0","6.5","3.6","28.0","0.0","0.0","16.7","17.1","86","114"
"11","David West","10:53","1.000","1.000",".000",".000","0.0","25.4","13.9","64.5","0.0","13.0","33.3","11.1","157","99"
"12","Quinn Cook","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Zaza Pachulia","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Jordan Bell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","JaVale McGee","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".588",".544",".440",".297","16.3","80.8","51.6","83.7","9.1","11.8","13.5","100.0","110.3","105.8"
