"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jrue Holiday","46:33","11","24",".458","2","9",".222","0","0","","1","7","8","8","1","1","2","0","24","-1"
"3","Anthony Davis","42:59","12","24",".500","1","3",".333","0","0","","4","11","15","5","2","3","2","4","25","+2"
"4","Nikola Mirotic","39:03","7","16",".438","3","8",".375","1","3",".333","1","8","9","1","2","0","0","6","18","-9"
"5","Rajon Rondo","38:07","8","15",".533","3","4",".750","3","3","1.000","3","4","7","12","5","0","7","5","22","+2"
"6","E'Twaun Moore","35:43","5","13",".385","4","8",".500","0","0","","0","2","2","1","1","1","1","2","14","+1"
"8","Darius Miller","17:03","1","3",".333","0","2",".000","3","3","1.000","0","2","2","3","1","0","1","1","5","-9"
"9","Solomon Hill","9:53","1","6",".167","0","3",".000","0","0","","1","0","1","3","0","0","0","1","2","-7"
"10","Ian Clark","6:12","1","2",".500","0","0","","0","0","","0","0","0","0","0","0","0","0","2","-3"
"11","Cheick Diallo","4:28","2","2","1.000","0","0","","0","0","","0","2","2","0","0","0","0","0","4","-1"
"12","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"16","Team Totals","240","48","105",".457","13","37",".351","7","9",".778","10","36","46","33","12","5","13","19","116",""
