"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","46:56",".398",".417",".267",".200","0.0","26.4","13.1","51.6","1.1","3.6","3.0","32.7","101","108"
"3","Kyle Korver","37:42",".559",".559",".706",".000","2.9","3.0","3.0","4.4","0.0","0.0","0.0","20.6","120","122"
"4","J.R. Smith","36:01",".812",".773",".545",".273","3.1","3.1","3.1","8.9","3.0","0.0","0.0","15.6","170","115"
"5","Kevin Love","34:12",".269",".269",".308",".000","6.5","36.3","21.2","8.3","0.0","0.0","13.3","20.0","66","108"
"6","George Hill","28:20",".286",".286",".000",".000","0.0","0.0","0.0","14.7","0.0","3.0","0.0","11.3","84","121"
"8","Jeff Green","27:36","1.064","1.125",".250","2.000","0.0","8.2","4.0","16.8","3.9","3.0","11.7","14.1","191","109"
"9","Tristan Thompson","26:02",".717",".625",".000",".500","38.2","13.0","25.7","0.0","0.0","0.0","0.0","17.1","171","117"
"10","Rodney Hood","16:04",".200",".200",".400",".000","0.0","7.0","3.5","0.0","0.0","5.2","16.7","17.0","37","117"
"11","Jordan Clarkson","12:07",".357",".357",".286",".000","0.0","18.6","9.2","13.2","0.0","0.0","0.0","26.3","85","115"
"12","Jose Calderon","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Larry Nance","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","265",".508",".480",".343",".206","27.1","68.1","47.4","59.5","5.1","7.9","4.3","100.0","114.9","113.9"
