"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","46:56","12","30",".400","1","8",".125","1","6",".167","0","11","11","13","1","2","1","2","26","+5"
"3","Kyle Korver","37:42","7","17",".412","5","12",".417","0","0","","1","1","2","1","0","0","0","2","19","+5"
"4","J.R. Smith","36:01","6","11",".545","5","6",".833","3","3","1.000","1","1","2","2","2","0","0","0","20","-1"
"5","Kevin Love","34:12","3","13",".231","1","4",".250","0","0","","2","11","13","2","0","0","2","5","7","-7"
"6","George Hill","28:20","2","7",".286","0","0","","0","0","","0","0","0","3","0","1","0","2","4","0"
"8","Jeff Green","27:36","4","4","1.000","1","1","1.000","7","8",".875","0","2","2","3","2","1","1","3","16","+10"
"9","Tristan Thompson","26:02","5","8",".625","0","0","","4","4","1.000","9","3","12","0","0","0","0","4","14","+2"
"10","Rodney Hood","16:04","1","5",".200","0","2",".000","0","0","","0","1","1","0","0","1","1","3","2","-3"
"11","Jordan Clarkson","12:07","2","7",".286","1","2",".500","0","0","","0","2","2","1","0","0","0","2","5","-6"
"12","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Larry Nance","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jose Calderon","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","265","42","102",".412","14","35",".400","15","21",".714","13","32","45","25","5","5","5","23","113",""
